dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9982,0.0552,0.3965,0.0518
1,1,0.0508,0.9980,0.0319,0.3680
2,1,0.4008,0.0297,0.9990,0.0470
3,1,0.0494,0.3668,0.0442,0.9990
4,0,-0.0222,0.0575,0.0867,-0.1386
5,0,-0.1927,0.0479,-0.1853,0.1930
6,0,0.1823,-0.0055,0.0472,-0.0079
7,0,-0.0049,-0.2120,0.0140,-0.1450
8,0,0.1111,0.1025,0.1617,0.0673
9,0,0.1638,0.0870,-0.0069,-0.0772
10,0,-0.1586,-0.0680,-0.0041,-0.2027
11,0,0.0443,0.1141,0.1051,-0.0318
12,0,0.0925,-0.0827,0.1668,0.0502
13,0,-0.0850,-0.1733,0.0252,-0.0593
14,0,-0.1289,-0.2348,0.0068,0.0161
15,0,0.0126,-0.0648,-0.2412,-0.1406
16,0,-0.0279,0.1098,-0.0858,0.1491
17,0,-0.0168,-0.1044,0.0385,0.1725
18,0,0.0175,-0.0365,0.0330,0.1700
19,0,0.0180,0.2001,-0.0125,0.1301
20,0,-0.0687,-0.2266,-0.1268,-0.1517
21,0,0.0696,-0.0788,0.0057,-0.0255
22,0,-0.2251,-0.0464,0.0317,-0.0171
23,0,-0.0431,-0.2174,0.1463,-0.1842
24,0,0.0800,0.0213,-0.0142,0.1491
25,0,-0.0293,-0.1611,-0.0791,-0.1296
26,0,0.1125,0.0508,0.0795,0.1088
27,0,-0.1071,0.1411,0.0151,0.0546
28,0,-0.0625,-0.0706,0.1300,0.1294
29,0,-0.1166,-0.0697,-0.1378,-0.0669
30,0,-0.1234,0.0145,0.0715,0.0623
31,0,-0.0587,-0.0120,-0.1019,0.0608
32,0,0.1772,-0.0668,-0.0051,0.0340
33,0,-0.2521,0.3154,-0.1204,0.1015
34,0,-0.0276,-0.1721,0.0921,-0.1561
35,0,0.0547,0.0522,0.1119,-0.0965
36,0,0.1206,-0.0546,-0.1566,0.1827
37,0,0.0372,-0.1141,0.1490,-0.0956
38,0,0.1428,0.2425,0.0126,0.0693
39,0,0.1539,0.0242,0.0964,0.0371
40,0,0.0749,-0.0214,-0.0274,-0.0469
41,0,-0.1687,0.0454,-0.1548,-0.0755
42,0,0.0034,0.1611,0.0131,-0.0141
43,0,-0.0444,-0.0105,-0.1073,0.1247
44,0,-0.0127,-0.1717,0.0196,-0.0145
45,0,0.0457,0.0386,0.0336,0.2888
46,0,0.2969,0.0239,0.0881,0.0925
47,0,-0.1620,0.0100,-0.0593,-0.1106
48,0,-0.0806,-0.0131,0.0450,-0.0410
49,0,-0.0039,-0.0819,-0.0715,-0.2068
50,0,-0.0500,0.0789,-0.1698,0.0694
51,0,0.3667,0.0311,0.1223,0.1265
52,0,-0.0634,-0.0258,-0.0930,0.0297
53,0,-0.0274,-0.1026,-0.0728,0.1783
54,0,-0.1509,0.0180,-0.1298,-0.0724
55,0,0.0499,0.0911,-0.1203,-0.0384
56,0,0.1163,0.0135,0.1161,-0.0480
57,0,0.1731,0.0055,0.0021,-0.0634
58,0,-0.0369,-0.0430,0.0759,-0.0012
59,0,0.1361,-0.1001,0.0876,0.1211
60,0,0.1785,0.0502,0.1140,-0.0686
61,0,0.0689,0.0531,-0.0114,0.0852
62,0,-0.0686,-0.1204,0.0532,0.0115
63,0,-0.3260,-0.0980,-0.0875,-0.0294
64,0,0.1301,-0.1799,0.1605,0.0497
65,0,0.0997,-0.0678,0.0516,0.0335
66,0,-0.0787,-0.1052,-0.0849,-0.1521
67,0,-0.0521,-0.1597,-0.1027,-0.0033
68,0,0.2159,0.2045,0.1408,-0.0263
69,0,-0.0104,0.0011,-0.0237,0.1187
70,0,-0.0346,-0.0146,0.0869,-0.0899
71,0,-0.0363,-0.1446,-0.0067,-0.1354
72,0,0.1460,0.0502,0.1003,-0.0062
73,0,-0.0740,0.1113,-0.1538,0.1015
