step,epoch,recon,dyn,pred_recon,var,l1,anchor,anchor_pred,total,latent_std
50,1,0.6855243444442749,0.0013110144063830376,0.691554605960846,0.08293327689170837,0.008878909051418304,1.4805978536605835,1.3010658025741577,4.242995738983154,0.012042006477713585
100,1,0.6116533875465393,0.004990920890122652,0.6143500804901123,0.017908940091729164,0.016406545415520668,1.1304086446762085,0.9985219836235046,3.3778505325317383,0.3578976094722748
150,1,0.4379273056983948,0.003227303270250559,0.43363475799560547,0.017912639304995537,0.01987934485077858,0.9413295984268188,0.8799443244934082,2.713995933532715,0.36541256308555603
200,1,0.393835186958313,0.0030616361182183027,0.3843908905982971,0.017917266115546227,0.03032923862338066,0.9296776056289673,0.8882792592048645,2.617192268371582,0.36491289734840393
250,1,0.3987864553928375,0.004243826027959585,0.37922823429107666,0.017865655943751335,0.03158845379948616,0.8848488926887512,0.841360867023468,2.5263655185699463,0.35429254174232483
300,1,0.42534303665161133,0.01130044087767601,0.4181087911128998,0.017792290076613426,0.03130428120493889,0.9607395529747009,0.8954316973686218,2.7287471294403076,0.3640519380569458
350,1,0.45089060068130493,0.01665622368454933,0.4494377076625824,0.017805933952331543,0.030031172558665276,0.26373353600502014,0.21843867003917694,1.4169926643371582,0.3748946487903595
400,1,0.3567771315574646,0.006085801403969526,0.3620951473712921,0.017543261870741844,0.028435997664928436,0.16324803233146667,0.13546310365200043,1.041240930557251,0.3679673671722412
450,1,0.3078177869319916,0.0031756579410284758,0.3075929284095764,0.017430393025279045,0.026557190343737602,0.1313016712665558,0.10026967525482178,0.8676146268844604,0.3701091408729553
500,1,0.28925156593322754,0.0034294934011995792,0.2927170693874359,0.017358681187033653,0.026081830263137817,0.14309357106685638,0.11165481060743332,0.8575313091278076,0.3716971278190613
550,2,0.2746381461620331,0.0029895775951445103,0.27382925152778625,0.017172545194625854,0.026571428403258324,0.13735590875148773,0.10429757088422775,0.8103095293045044,0.3741818964481354
600,2,0.25811657309532166,0.0026518600061535835,0.2577759623527527,0.017124013975262642,0.027332141995429993,0.1192469596862793,0.09398509562015533,0.7489278316497803,0.37164542078971863
650,2,0.2526722550392151,0.0023221506271511316,0.2541826069355011,0.017125224694609642,0.027572408318519592,0.12321355193853378,0.09336810559034348,0.7429114580154419,0.3704356849193573
700,2,0.24712960422039032,0.0024237767793238163,0.24759024381637573,0.01714291237294674,0.028901800513267517,0.1158118024468422,0.08867758512496948,0.7188048362731934,0.37409350275993347
750,2,0.30861830711364746,0.0027111682575196028,0.31005972623825073,0.01718326285481453,0.03086867928504944,0.11546342819929123,0.08969377726316452,0.8437605500221252,0.3709782063961029
800,2,0.2430952489376068,0.0022237615194171667,0.24457219243049622,0.016852689906954765,0.03252032399177551,0.10646553337574005,0.07982995361089706,0.6930719614028931,0.3749016523361206
850,2,0.257368266582489,0.0019410450477153063,0.25692757964134216,0.017211394384503365,0.0351392962038517,0.2308279573917389,0.1964087337255478,0.9607201218605042,0.37474027276039124
900,2,0.20902809500694275,0.0017354898154735565,0.2101919949054718,0.01714484766125679,0.03643940016627312,0.17361202836036682,0.1459570974111557,0.7577060461044312,0.37137648463249207
950,2,0.2172061651945114,0.002096164273098111,0.21713793277740479,0.017089689150452614,0.0375492200255394,0.10554518550634384,0.07984208315610886,0.638954758644104,0.3721710741519928
1000,2,0.20387418568134308,0.0016736303223297,0.20447951555252075,0.017133956775069237,0.039095014333724976,0.1510777771472931,0.12370087951421738,0.7019790410995483,0.37170931696891785
1050,3,0.19628722965717316,0.002098357304930687,0.19701141119003296,0.017222454771399498,0.040004923939704895,0.1293172389268875,0.09893522411584854,0.6409119367599487,0.37154409289360046
1100,3,0.19436565041542053,0.001643183990381658,0.194773867726326,0.01692647859454155,0.04148812219500542,0.12625649571418762,0.10561587661504745,0.6396230459213257,0.3703124523162842
1150,3,0.18571613729000092,0.0015605137450620532,0.18627648055553436,0.017018143087625504,0.04297851771116257,0.10925852507352829,0.08653423190116882,0.5864070057868958,0.369668573141098
1200,3,0.2649425268173218,0.0018845144659280777,0.2652726471424103,0.016985978931188583,0.04471766576170921,0.11101056635379791,0.08622518926858902,0.7463661432266235,0.37706464529037476
1250,3,0.1912628710269928,0.0015707205748185515,0.19245363771915436,0.017081039026379585,0.046731334179639816,0.09300122410058975,0.07431873679161072,0.5697349309921265,0.3707364797592163
1300,3,0.18665102124214172,0.0015998001908883452,0.18621310591697693,0.01701054722070694,0.04697996377944946,0.078953318297863,0.05977144464850426,0.5302461981773376,0.3719370365142822
1350,3,0.18141372501850128,0.001272696303203702,0.18274623155593872,0.01698821596801281,0.04847799241542816,0.11043786257505417,0.08744093030691147,0.5803481340408325,0.36857151985168457
1400,3,0.18387599289417267,0.0013345078332349658,0.1833539605140686,0.01694469153881073,0.04954454302787781,0.11233934015035629,0.08608610928058624,0.5839841365814209,0.3721858561038971
1450,3,0.1742551624774933,0.0012826757738366723,0.1733420193195343,0.01685539446771145,0.05057268589735031,0.07635815441608429,0.0564824640750885,0.4986264705657959,0.3668432831764221
1500,3,0.18043801188468933,0.0012444017920643091,0.17971083521842957,0.017041493207216263,0.051894962787628174,0.10264892876148224,0.07531515508890152,0.5564507246017456,0.36705490946769714
1550,4,0.16645868122577667,0.0011987453326582909,0.16953708231449127,0.01704828068614006,0.053479067981243134,0.10990052670240402,0.0853225514292717,0.5495193004608154,0.3679060637950897
1600,4,0.16861313581466675,0.0012421825667843223,0.16929085552692413,0.017096098512411118,0.05416544899344444,0.09446414560079575,0.07228820025920868,0.5230487585067749,0.3721655607223511
1650,4,0.1722155064344406,0.0011634748661890626,0.17306946218013763,0.016948340460658073,0.05559584125876427,0.08121591061353683,0.05739518627524376,0.5020634531974792,0.37236934900283813
1700,4,0.17482373118400574,0.001409769058227539,0.17692270874977112,0.01688714139163494,0.05601802468299866,0.08739724010229111,0.06472958624362946,0.5222262144088745,0.37061139941215515
1750,4,0.16401048004627228,0.0012077828869223595,0.16618870198726654,0.016925139352679253,0.056836679577827454,0.10294689238071442,0.08299326151609421,0.5343290567398071,0.3699832856655121
1800,4,0.15828868746757507,0.0010799423325806856,0.1594180464744568,0.016952214762568474,0.05761990696191788,0.07991506159305573,0.05820653587579727,0.4739181101322174,0.36984869837760925
1850,4,0.16774746775627136,0.0012145353248342872,0.1670795977115631,0.01678549125790596,0.05908472463488579,0.08148107677698135,0.05782884359359741,0.49219611287117004,0.3717212677001953
1900,4,0.16833113133907318,0.001145848073065281,0.16939720511436462,0.016925672069191933,0.06017880141735077,0.11390268802642822,0.08865610510110855,0.5584188103675842,0.3669379949569702
