dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9973,0.0348,0.3395,0.0352
1,1,0.0287,0.9974,0.0343,0.3192
2,1,0.3752,0.0297,0.9987,-0.0087
3,1,0.0284,0.3544,-0.0083,0.9985
4,0,-0.1211,0.0316,0.1081,-0.1599
5,0,-0.0819,-0.2761,-0.0402,-0.0371
6,0,-0.1979,0.0280,-0.0003,0.0791
7,0,-0.1634,0.0184,-0.1009,-0.0515
8,0,0.0452,-0.1279,-0.1146,0.0468
9,0,-0.1236,-0.2029,-0.2569,-0.0789
10,0,0.0495,0.0820,0.1149,0.1772
11,0,-0.0215,-0.0030,-0.1241,-0.3205
12,0,0.0843,0.1283,0.0073,0.2005
13,0,0.2760,0.0608,0.3235,0.0362
14,0,0.2688,-0.2631,0.1345,0.0050
15,0,-0.2128,0.1644,-0.1690,0.1557
16,0,0.2592,0.0157,0.0733,-0.0107
17,0,0.1174,-0.0628,-0.0182,0.0610
18,0,0.0074,-0.1691,0.0934,-0.0915
19,0,-0.0893,-0.0271,0.0444,-0.0785
20,0,-0.0908,0.1274,-0.1048,0.0071
21,0,0.0591,-0.0817,-0.1838,0.0526
22,0,-0.0621,-0.1162,0.0339,-0.0812
23,0,0.0111,0.0897,-0.0805,-0.0660
24,0,-0.0584,-0.1464,-0.0258,-0.0427
25,0,-0.0924,0.0117,0.0169,0.0584
26,0,-0.0682,-0.1269,0.0799,-0.1257
27,0,0.1172,-0.1649,0.0999,-0.0093
28,0,0.0846,-0.0879,0.1129,0.0195
29,0,-0.0525,0.0472,0.0108,0.0142
30,0,0.1996,0.1176,0.1705,0.1630
31,0,-0.0127,0.0056,0.1086,0.1590
32,0,-0.3197,-0.1405,-0.1507,-0.1125
33,0,-0.1176,-0.0372,0.0202,0.0753
34,0,-0.1450,0.1463,-0.1125,0.1398
35,0,-0.0997,0.0990,0.1107,0.1585
36,0,-0.1910,-0.0471,-0.1568,-0.0791
37,0,0.0558,0.3958,0.1409,0.0957
38,0,-0.0842,-0.1296,-0.1547,0.0575
39,0,-0.1123,0.2503,0.0574,0.0065
40,0,0.0353,0.0092,0.0372,-0.0125
41,0,0.0388,-0.0801,0.0145,0.1112
42,0,0.1038,-0.0137,-0.0314,0.2089
43,0,-0.0039,0.1541,0.0149,0.2033
