dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9981,0.0379,0.3761,0.0286
1,1,0.0359,0.9980,0.0326,0.3595
2,1,0.3757,0.0321,0.9989,-0.0005
3,1,0.0268,0.3563,-0.0057,0.9990
4,0,-0.1264,0.0578,0.1321,-0.0014
5,0,0.0228,0.0905,-0.1936,0.1660
6,0,0.0409,0.0319,-0.0928,-0.0737
7,0,0.1792,0.0359,0.1466,0.0192
8,0,-0.1324,0.1614,-0.2082,-0.1554
9,0,-0.2122,0.0125,-0.1123,0.0811
10,0,-0.0050,0.0515,0.1233,0.0046
11,0,0.0466,0.1156,0.2549,0.0688
12,0,0.0563,0.1753,0.0801,-0.0142
13,0,0.2214,0.1487,0.1077,-0.1499
14,0,-0.1801,0.0521,-0.1250,0.1189
15,0,0.0092,-0.2118,-0.0614,-0.1200
16,0,-0.2048,0.2537,-0.0914,-0.0022
17,0,0.0734,-0.0810,0.0757,0.1367
18,0,0.0076,-0.1676,-0.1338,0.0132
19,0,-0.0432,-0.1449,-0.0827,0.0170
20,0,-0.2114,-0.0425,0.0688,-0.0305
21,0,0.0136,-0.1220,-0.0644,0.0515
22,0,-0.0352,0.0199,-0.0399,0.0263
23,0,0.0867,-0.0345,0.0642,-0.0538
24,0,0.1690,0.0808,0.1671,-0.0521
25,0,0.2641,0.2023,0.0361,-0.0899
26,0,0.1496,0.0202,0.0804,0.0687
27,0,-0.0598,-0.0623,-0.2431,-0.1270
28,0,0.0732,-0.0366,0.0705,-0.0361
29,0,-0.0820,-0.0507,-0.0220,0.0092
30,0,-0.0324,-0.0361,-0.0582,0.0002
31,0,-0.0066,-0.0612,-0.1516,-0.0585
32,0,0.1368,-0.0604,0.0248,-0.0195
33,0,0.2579,-0.0306,0.1800,0.1363
34,0,0.1043,-0.1536,-0.0504,-0.0271
35,0,-0.2742,-0.0130,-0.1624,-0.1307
36,0,-0.0541,-0.1800,0.0114,0.1688
37,0,0.0168,0.1664,-0.1746,0.1195
38,0,-0.1125,0.0473,-0.0112,0.0720
39,0,0.0173,0.1313,0.0476,-0.0027
40,0,0.0213,-0.0271,0.1347,-0.0225
41,0,0.0518,0.1294,0.0931,-0.0110
42,0,-0.0163,-0.0615,0.1811,-0.0759
43,0,-0.0249,0.1645,0.0277,-0.0726
44,0,-0.0796,0.1598,0.0153,0.0308
45,0,0.0215,-0.0333,-0.0624,-0.1029
46,0,-0.0174,0.0339,-0.1215,-0.0747
47,0,-0.0651,0.0547,0.0192,0.1182
48,0,-0.0748,-0.0930,0.0252,0.1113
49,0,-0.0766,0.0482,-0.0170,-0.0217
50,0,-0.1008,-0.0407,-0.0643,0.1422
51,0,-0.3028,-0.2272,-0.1310,-0.1244
52,0,-0.1130,-0.0261,0.1022,-0.0092
53,0,0.0939,-0.0195,-0.1154,0.0978
54,0,-0.0258,-0.0736,0.1012,0.0045
55,0,-0.1135,-0.1630,-0.0579,-0.0540
56,0,-0.1443,0.0429,-0.0908,-0.1170
57,0,0.1721,-0.0566,0.0429,-0.2164
