dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9979,0.0411,0.4452,0.0282
1,1,0.0311,0.9980,0.0301,0.4312
2,1,0.4441,0.0343,0.9989,0.0002
3,1,0.0294,0.4273,0.0018,0.9989
4,0,0.0731,0.2273,0.0454,0.0546
5,0,-0.0722,-0.0911,-0.0736,0.0686
6,0,0.0429,0.0124,-0.0893,0.1085
7,0,0.1834,0.1109,0.0202,0.0074
8,0,0.0912,0.0531,0.0725,-0.2043
9,0,-0.0642,-0.2009,0.0415,-0.1025
10,0,0.0779,-0.2074,-0.0997,-0.1029
11,0,0.0913,0.0503,0.1090,0.1273
12,0,0.1173,0.1695,-0.0645,0.0705
13,0,-0.2194,-0.0217,-0.0979,0.0217
14,0,0.1892,0.0903,0.1078,-0.0319
15,0,-0.0376,0.0246,-0.0541,0.0926
16,0,0.0319,0.0153,-0.0647,0.0832
17,0,0.0358,0.0447,0.0371,0.0354
18,0,-0.1089,-0.0640,-0.0620,0.0086
19,0,-0.1458,0.2486,-0.1561,0.1496
20,0,-0.1163,0.0008,0.0686,-0.0128
21,0,-0.0803,-0.0065,-0.1857,0.0883
22,0,0.1288,0.3207,0.0911,0.3323
23,0,0.0474,0.2136,-0.0894,0.0753
24,0,0.1257,-0.1308,0.0108,-0.1738
25,0,0.1489,-0.0734,-0.0373,-0.0856
26,0,-0.0535,-0.1085,0.0143,-0.0666
27,0,0.0379,-0.0347,-0.1569,-0.0121
28,0,-0.0032,-0.3344,0.0346,0.0010
29,0,-0.0710,-0.1556,-0.1353,0.1564
30,0,-0.0438,-0.1286,-0.1349,-0.2552
31,0,0.1868,-0.0321,0.0860,-0.0781
32,0,0.2056,0.1404,0.0291,0.0553
33,0,0.1730,-0.0017,0.1879,0.0347
34,0,0.0508,0.0488,0.1005,-0.0852
35,0,0.1011,0.0590,0.1858,-0.0731
36,0,-0.1099,0.0802,-0.2072,-0.0602
37,0,0.0142,0.1063,-0.0793,0.0817
38,0,-0.0455,0.0632,-0.1696,0.0745
39,0,-0.1106,-0.1449,-0.0425,-0.0521
40,0,-0.1467,-0.1680,-0.1486,-0.0344
