dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9976,0.0299,0.3691,0.0264
1,1,0.0307,0.9975,0.0337,0.3484
2,1,0.3710,0.0339,0.9990,0.0007
3,1,0.0309,0.3549,0.0006,0.9989
4,0,-0.0820,0.0017,-0.1006,-0.1691
5,0,0.1491,-0.2143,0.2412,-0.0610
6,0,0.0465,0.1409,-0.0716,0.1576
7,0,-0.0657,0.0119,-0.0580,-0.1073
8,0,0.0161,-0.1275,0.1461,-0.3464
9,0,-0.0456,0.0360,0.2399,0.0263
10,0,-0.0079,0.1333,0.1555,-0.0752
11,0,-0.1142,-0.0039,0.0075,-0.0351
12,0,0.0171,-0.0260,0.0462,-0.0037
13,0,0.1045,-0.0074,-0.1538,-0.0525
14,0,0.0880,-0.0175,0.1514,0.0044
15,0,0.0039,-0.0042,0.1742,0.0378
16,0,-0.0958,-0.0246,0.0200,0.0445
17,0,0.1670,-0.0053,0.0628,0.0020
18,0,-0.0080,-0.0568,-0.0258,-0.0514
19,0,0.0913,-0.0649,0.1725,-0.0039
20,0,-0.1142,-0.0597,-0.0179,0.1827
21,0,-0.0798,-0.0268,0.0142,0.1178
22,0,0.0069,-0.1340,-0.1529,0.0066
23,0,0.0518,-0.1038,0.1452,0.1126
24,0,-0.0242,0.0954,-0.1668,0.0735
25,0,0.0037,0.0647,-0.0764,-0.0454
26,0,-0.1055,-0.0136,-0.0024,0.0643
27,0,-0.0206,0.1437,-0.0729,-0.0219
28,0,0.0572,0.1265,-0.0922,0.0453
29,0,0.1017,0.0219,0.0505,0.1549
30,0,0.1815,0.2359,0.2044,0.0551
31,0,-0.0189,-0.0325,-0.1213,0.0924
32,0,0.1500,0.0698,-0.1149,0.0002
33,0,0.2142,0.3481,0.1399,0.1124
34,0,0.0172,0.1467,0.0746,-0.0105
35,0,-0.0033,0.0132,0.1456,-0.0812
36,0,0.2249,-0.0006,-0.0141,0.1569
37,0,-0.0155,-0.1451,0.0798,-0.2933
38,0,0.0350,0.1853,0.0716,0.0261
39,0,0.0061,-0.3462,-0.0477,-0.0092
40,0,0.1838,0.0964,0.0513,-0.0138
41,0,-0.0364,-0.0879,-0.1285,-0.0752
42,0,0.0201,-0.0285,0.0335,0.0351
43,0,0.0489,0.0430,-0.1529,0.0201
44,0,-0.1465,0.0299,-0.0668,0.0503
45,0,-0.0847,0.0872,-0.0872,-0.0442
46,0,0.0535,-0.3353,-0.1495,0.0478
47,0,-0.0004,0.0634,0.0347,0.0676
48,0,-0.1025,-0.0201,0.0038,0.0464
49,0,0.3109,-0.0994,0.3288,0.0445
50,0,-0.0327,0.1313,-0.1563,-0.1255
51,0,0.0704,0.1732,0.0322,0.2713
52,0,0.1242,0.0939,0.2111,0.0792
53,0,-0.0899,0.0914,0.0608,0.0075
54,0,0.0072,-0.1767,0.0125,0.0698
55,0,-0.0686,0.1128,-0.0841,0.0161
56,0,-0.1081,0.0865,-0.1903,0.0075
57,0,0.1358,0.0903,-0.0334,-0.1315
58,0,0.3137,0.1149,0.0266,-0.0183
59,0,0.0540,-0.0926,0.0120,0.0785
60,0,0.0420,-0.0038,0.0789,0.0473
61,0,-0.2075,-0.0248,-0.0076,0.0371
62,0,0.0867,0.1012,0.0093,0.1030
63,0,-0.0913,0.0004,-0.1983,0.0255
64,0,0.0989,0.0055,0.0264,0.0125
65,0,-0.0993,0.0556,0.0877,-0.0667
66,0,-0.0619,-0.0351,-0.0024,-0.0203
67,0,-0.2021,-0.0066,-0.1510,-0.1401
68,0,-0.0319,-0.0957,0.0646,-0.0210
69,0,0.1929,-0.2343,-0.0026,0.0012
70,0,0.0848,-0.1119,0.0884,0.1712
71,0,-0.1905,-0.1419,-0.0751,0.0179
72,0,-0.0561,-0.2860,-0.0017,-0.2512
73,0,0.0310,0.0830,0.0739,0.2952
74,0,-0.0416,0.0244,-0.0207,-0.1171
75,0,-0.0271,0.0842,-0.1526,0.0577
76,0,-0.0001,0.3726,0.1414,0.1395
77,0,0.0842,-0.0103,0.0126,-0.0492
78,0,0.0352,0.0066,-0.0067,-0.0488
79,0,-0.1461,-0.0109,-0.2146,-0.0003
80,0,-0.1045,0.0368,0.0073,0.1274
81,0,0.1261,0.2571,0.0499,0.0034
82,0,0.0456,-0.0826,-0.0288,-0.1006
83,0,0.1412,-0.0603,-0.0202,-0.1003
84,0,-0.0617,0.0105,-0.0969,-0.1409
85,0,-0.0900,-0.1062,-0.1019,0.0405
86,0,-0.0853,0.1789,0.0230,0.0652
87,0,0.0975,-0.0998,0.0018,-0.0735
88,0,0.0261,0.1871,0.0045,-0.0027
89,0,0.1375,0.0866,0.0174,-0.1225
90,0,-0.1406,0.2164,-0.1381,-0.0106
91,0,-0.1787,0.0345,0.1219,-0.0275
92,0,0.0764,-0.0165,0.0485,-0.2018
93,0,-0.0138,-0.1780,0.0889,-0.1724
94,0,-0.1791,-0.0226,-0.0044,0.0006
95,0,-0.0339,-0.1517,0.0999,-0.0642
