dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9973,0.0307,0.3722,0.0274
1,1,0.0308,0.9979,0.0339,0.3549
2,1,0.3721,0.0317,0.9989,-0.0102
3,1,0.0271,0.3545,-0.0119,0.9989
4,0,0.1811,-0.2021,0.1057,-0.2201
5,0,-0.2511,-0.2308,-0.2015,-0.0640
6,0,0.1042,-0.0498,0.0914,0.0455
7,0,0.2153,0.0843,0.1986,0.0194
8,0,-0.0772,0.0967,-0.0110,-0.0556
9,0,-0.1284,-0.0611,-0.0399,-0.0589
10,0,0.0431,-0.0569,0.1214,0.0329
11,0,-0.0204,-0.0498,0.0841,0.0342
12,0,-0.1123,0.0037,-0.1191,0.1208
13,0,-0.1746,-0.1762,-0.1884,-0.1691
14,0,0.0919,-0.0494,0.0456,-0.1107
15,0,-0.0306,-0.0624,-0.0067,-0.2403
16,0,0.0762,0.1394,-0.0083,0.2053
17,0,-0.0976,0.0024,-0.1240,-0.1168
18,0,0.0406,0.0045,-0.1017,0.1889
19,0,-0.0670,0.0813,-0.1435,0.1015
20,0,0.0059,0.0322,0.1039,0.0455
21,0,0.0021,-0.1068,0.0026,0.0438
22,0,-0.2130,-0.2082,0.0141,-0.1487
23,0,-0.1441,0.0607,0.0516,-0.0078
24,0,-0.2520,0.1799,-0.1659,0.0245
25,0,0.1052,-0.0451,-0.2015,-0.1471
26,0,-0.0446,-0.0020,-0.1661,0.0161
27,0,-0.1094,-0.0824,0.0646,0.0161
28,0,0.2621,0.1239,-0.0356,0.1535
29,0,-0.1451,-0.3140,-0.1191,-0.1038
30,0,0.0625,0.0474,-0.0270,-0.0120
31,0,0.1419,0.1417,-0.0298,-0.1618
32,0,0.0404,0.1398,0.2283,0.0038
33,0,0.1212,-0.0814,0.0101,-0.0176
34,0,-0.0735,0.0197,-0.1136,0.0959
35,0,-0.0297,0.1632,-0.0432,0.1232
36,0,-0.1442,-0.1277,0.0159,0.0073
37,0,0.1306,0.0381,0.1247,-0.0343
38,0,0.1260,0.1645,-0.0454,0.0559
39,0,0.0056,0.0755,0.0633,-0.0496
40,0,-0.1272,0.1873,-0.0029,0.0967
41,0,-0.1004,0.1290,0.0524,0.1531
42,0,0.1220,-0.0817,0.0121,0.0450
43,0,0.1864,0.0598,-0.1790,0.1333
44,0,-0.0576,-0.1293,-0.0244,0.0773
45,0,-0.1420,0.0327,-0.1170,-0.3030
46,0,0.0420,0.0312,0.0421,-0.0240
47,0,-0.1040,-0.0878,-0.0296,-0.0110
48,0,-0.0467,0.1011,-0.0805,-0.0010
49,0,-0.1534,0.0777,0.1450,-0.1230
50,0,-0.0612,0.2679,-0.0515,0.2749
51,0,-0.1332,-0.0078,0.0934,-0.0026
52,0,-0.1682,-0.2513,-0.0727,-0.2378
53,0,-0.1013,-0.0157,-0.0945,-0.1192
54,0,-0.0793,0.1510,-0.1297,0.0549
55,0,0.0984,0.0118,0.1607,-0.1288
56,0,0.1038,0.0837,0.0003,0.0914
57,0,-0.0093,-0.0795,-0.1339,-0.0545
58,0,0.0864,0.1350,0.1289,0.0187
59,0,0.2058,0.0225,0.0970,-0.1210
60,0,-0.1574,-0.0186,0.0396,-0.0447
61,0,0.1766,-0.3071,-0.0216,-0.1103
62,0,0.0637,-0.0329,-0.0690,0.0992
63,0,-0.0391,0.0544,-0.0687,-0.0166
64,0,-0.0503,0.0019,0.0324,0.0767
65,0,0.1232,0.1232,-0.0538,0.2380
66,0,-0.0369,-0.0072,-0.0295,-0.0290
67,0,-0.1749,0.0264,-0.2502,0.1027
68,0,0.0413,-0.0989,-0.0036,-0.0549
69,0,0.0825,0.1446,-0.0205,0.2919
70,0,0.1157,0.0984,0.0352,0.0412
71,0,-0.0772,-0.0783,0.1003,-0.0266
72,0,0.0118,0.0779,-0.0336,0.0215
73,0,0.0550,0.0529,-0.1273,-0.1225
74,0,-0.0065,0.2085,-0.0918,0.1098
75,0,-0.0154,-0.1055,0.0789,-0.1001
76,0,-0.0853,-0.0204,-0.1153,0.0250
77,0,0.1115,-0.3023,-0.0124,-0.1140
78,0,-0.0439,0.0310,-0.0273,-0.1490
79,0,0.0644,-0.1534,-0.1128,-0.1043
80,0,-0.0099,0.0953,0.0407,0.0786
81,0,-0.0174,-0.1207,-0.1034,0.0185
82,0,0.0107,0.1666,0.3039,-0.0215
83,0,0.0524,0.0592,0.1542,-0.0157
84,0,0.0617,0.1140,0.0090,-0.2157
85,0,-0.1408,-0.0455,-0.0523,-0.0487
86,0,0.1123,-0.2344,0.3334,-0.0464
87,0,-0.1681,0.1852,-0.2241,0.1286
88,0,0.1167,-0.1025,0.0069,-0.0044
89,0,0.0007,0.0350,-0.0119,-0.0615
90,0,0.2046,0.0460,0.2281,0.0769
91,0,0.1963,-0.0412,0.1182,0.0448
92,0,-0.2280,0.0659,-0.1598,-0.1096
93,0,0.0618,0.2013,0.0506,0.0648
94,0,0.0105,-0.1136,-0.1034,0.1678
95,0,-0.0834,0.0173,0.0335,0.1741
96,0,-0.0361,-0.1635,-0.1130,-0.0519
97,0,0.0947,0.0142,0.1584,-0.0083
98,0,0.2281,0.1209,0.0634,0.1456
99,0,0.0265,0.2823,0.0465,0.0454
100,0,0.0234,-0.1540,0.0965,-0.0474
101,0,-0.0405,0.0870,-0.0047,-0.0693
102,0,0.2477,-0.1075,0.1054,-0.0456
103,0,-0.1615,0.0368,-0.0745,0.0211
104,0,0.1663,-0.0082,-0.0110,-0.0189
105,0,-0.0108,0.0095,-0.1061,0.1321
106,0,-0.1350,0.2066,0.1218,-0.1202
107,0,-0.1469,-0.1968,-0.0350,0.0051
108,0,0.0837,0.1646,-0.0484,-0.0189
109,0,-0.1083,0.0279,-0.0406,-0.0451
110,0,0.1741,0.1990,0.1252,0.0657
111,0,0.0757,-0.1026,-0.0575,0.2104
112,0,-0.0860,0.1142,0.0412,-0.0383
113,0,-0.2249,-0.0326,-0.0199,0.0278
114,0,0.1881,-0.0910,0.0902,-0.1872
115,0,0.0028,0.0230,0.0504,-0.0979
116,0,0.0645,0.0851,0.0047,-0.0602
117,0,0.1964,0.1095,-0.0366,0.1480
118,0,-0.2132,0.0256,0.1553,0.0431
119,0,0.0462,0.0334,-0.1447,-0.1920
120,0,-0.0576,0.0857,-0.0975,-0.0232
121,0,-0.1089,0.1139,-0.0756,0.2116
122,0,-0.1181,0.2022,-0.1904,0.1538
123,0,-0.0421,0.0858,0.1407,-0.0541
124,0,-0.0670,-0.0811,-0.0540,0.1609
125,0,-0.0846,0.0504,0.0434,0.0923
126,0,0.0084,-0.0075,0.2193,-0.1066
127,0,0.0692,0.1837,0.1130,-0.0227
