dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9974,0.0275,0.3749,-0.0035
1,1,0.0315,0.9974,-0.0041,0.3875
2,1,0.3700,-0.0080,0.9990,0.0185
3,1,-0.0053,0.3871,0.0184,0.9990
4,0,0.1476,0.0815,-0.1002,0.0317
5,0,0.2660,0.1709,-0.0095,-0.0492
6,0,0.1426,-0.0273,0.1337,-0.1831
7,0,-0.0313,0.0323,0.0558,-0.0153
8,0,0.0257,0.0023,-0.1555,-0.1261
9,0,0.1047,-0.0405,0.0508,-0.0883
10,0,0.0010,0.0427,-0.1374,-0.0243
11,0,-0.0282,0.4322,0.0975,0.2272
12,0,-0.0310,0.1100,-0.1416,0.0044
13,0,-0.0413,-0.0677,0.1839,0.0727
14,0,0.0965,-0.0851,0.0774,-0.0386
15,0,0.2084,0.0826,0.2262,0.0754
16,0,0.0560,0.0419,0.1168,-0.0477
17,0,-0.1172,0.0074,-0.0919,-0.1110
18,0,-0.0887,-0.0075,0.1282,-0.0359
19,0,-0.0532,0.0364,0.1110,0.0060
20,0,-0.0474,0.0748,0.0517,0.0720
21,0,-0.0705,0.0336,-0.0286,0.1522
22,0,-0.0446,0.1038,-0.0891,0.0554
23,0,0.2023,-0.0331,0.1001,0.0285
24,0,0.1463,0.0579,0.0480,0.1845
25,0,-0.0409,0.2028,-0.1930,-0.0164
26,0,-0.0446,-0.0811,-0.0882,-0.0415
27,0,0.1659,0.0325,-0.0139,-0.0181
28,0,0.0677,0.0246,-0.1658,-0.1728
29,0,-0.2373,-0.0623,-0.0998,-0.0483
30,0,-0.1516,0.0840,-0.2721,0.0818
31,0,-0.0849,0.1548,-0.1121,-0.0692
32,0,0.0440,0.1238,0.0423,0.0615
33,0,-0.0794,0.1194,-0.2033,0.0241
34,0,-0.0608,0.1376,-0.0264,-0.0485
35,0,0.0839,-0.0358,0.1841,-0.1163
36,0,-0.0743,-0.1186,-0.1257,0.0671
37,0,-0.0444,0.0376,-0.0076,-0.1219
38,0,-0.0223,-0.0064,0.0372,0.0207
39,0,-0.0755,-0.2061,-0.1347,0.0373
40,0,-0.1335,-0.0020,0.0513,-0.0644
41,0,0.0280,-0.0053,-0.0132,0.1247
42,0,-0.0169,0.3091,0.0563,0.2553
43,0,0.0234,-0.0490,-0.0266,0.1225
44,0,-0.1862,0.2229,0.0021,0.0413
45,0,0.0440,-0.1959,0.0658,-0.2122
46,0,-0.3147,-0.0164,-0.1492,0.0377
47,0,0.0359,-0.1763,0.0882,0.0680
48,0,-0.0909,0.1513,-0.0822,0.0558
49,0,0.0714,-0.1192,0.0392,-0.0174
50,0,-0.0624,0.0455,-0.0482,-0.0476
51,0,-0.1175,0.0663,-0.0327,0.0827
52,0,0.1248,0.0479,0.0127,-0.0095
53,0,0.0442,0.0728,0.0369,-0.0756
54,0,-0.1009,0.1805,-0.1042,0.0197
55,0,-0.1633,-0.0295,0.1335,0.1326
56,0,0.0377,-0.0462,0.0425,-0.1150
57,0,-0.0684,0.0455,0.0435,0.1351
58,0,0.0554,0.1414,0.0883,0.1145
59,0,0.1209,0.1217,-0.0111,0.1386
60,0,-0.0534,0.0035,0.0184,0.1798
61,0,0.0260,0.1543,0.2303,-0.1261
62,0,-0.0451,-0.1787,-0.0211,-0.0523
63,0,0.1632,-0.0227,0.1065,-0.1550
64,0,-0.0617,-0.2122,0.0189,-0.0111
65,0,0.1106,-0.0448,0.0240,-0.1050
66,0,-0.0325,-0.0267,0.0335,0.0495
67,0,-0.1141,-0.0811,-0.0668,0.0577
68,0,-0.1351,-0.0736,-0.0510,-0.0376
69,0,-0.0843,-0.0892,0.0389,-0.1474
70,0,0.0495,0.0656,0.0724,-0.0322
71,0,0.0140,0.1240,0.0335,-0.1198
72,0,0.2281,0.1971,0.0450,0.2321
73,0,0.0322,-0.2161,-0.1150,-0.1133
74,0,0.1525,0.0277,-0.0408,0.0848
75,0,-0.1503,-0.0747,0.0297,0.1480
76,0,0.0656,-0.0831,-0.0087,-0.0146
77,0,-0.1445,0.2116,-0.0485,0.0679
78,0,-0.1720,-0.1335,-0.1360,-0.1604
79,0,-0.3001,0.0615,0.0847,0.1144
80,0,0.0319,0.1185,0.1069,0.0586
81,0,0.1170,0.1405,-0.0311,0.2351
82,0,0.0918,0.1390,-0.0564,0.1851
83,0,-0.0033,0.0235,0.0923,-0.2425
84,0,-0.0455,-0.1868,-0.0671,-0.0937
85,0,-0.0043,-0.0063,0.1597,-0.0282
86,0,-0.1985,-0.0265,0.0986,0.0009
87,0,0.0647,-0.0459,0.1358,-0.0428
88,0,0.1078,0.0503,0.1571,0.1190
89,0,0.0096,-0.0769,-0.0087,-0.1839
90,0,-0.2281,-0.1954,-0.0190,0.0467
91,0,-0.0930,0.0666,0.0914,-0.0947
92,0,-0.0113,-0.2164,0.1143,-0.0684
93,0,-0.0713,-0.0962,0.0158,-0.0144
94,0,0.0310,-0.0547,-0.0653,0.0387
95,0,0.0304,-0.0637,0.0965,0.0697
96,0,-0.1641,0.0736,0.0063,0.0885
97,0,-0.0093,-0.2183,-0.0009,0.0544
98,0,0.0521,0.0509,0.2557,-0.0343
99,0,0.0435,-0.0257,-0.0120,-0.0372
100,0,-0.0275,0.0616,-0.0393,-0.0919
101,0,-0.0620,-0.0396,0.0738,-0.1656
102,0,0.0650,0.0289,0.0276,0.1024
103,0,-0.0583,0.0238,-0.0200,-0.0529
104,0,-0.0745,0.0900,-0.1753,0.0342
105,0,0.0700,0.0196,-0.0006,-0.1923
106,0,0.0472,-0.0745,-0.0527,-0.1353
107,0,-0.0592,-0.1814,-0.0267,-0.1077
108,0,0.1951,0.0956,0.0248,-0.0380
109,0,-0.1730,-0.1023,-0.0773,-0.0736
110,0,-0.0164,-0.0766,-0.1170,-0.0380
111,0,0.0718,-0.1242,0.0331,0.1305
112,0,0.1331,-0.1175,0.0918,-0.2166
113,0,-0.2053,-0.0159,-0.1989,-0.1440
114,0,-0.0561,-0.1261,0.1510,0.0231
115,0,0.0876,0.1257,0.0301,-0.0769
116,0,0.2746,-0.0930,0.0002,0.1590
117,0,-0.0876,-0.1229,-0.0717,-0.0338
118,0,0.0932,-0.1192,-0.0006,-0.0726
119,0,-0.0507,0.1296,0.0959,0.1243
120,0,0.1503,0.2843,-0.0956,0.1080
121,0,-0.0507,0.1025,0.2127,-0.0863
122,0,0.1689,-0.0197,0.0838,-0.1480
123,0,-0.0022,0.0169,-0.0892,-0.0371
124,0,-0.0939,0.1399,-0.1447,-0.0115
125,0,0.0073,0.0562,0.0567,0.2374
126,0,0.1150,-0.2341,0.1879,-0.0533
127,0,-0.1206,0.0094,0.1720,0.0492
