dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9977,0.0118,0.3914,0.0503
1,1,0.0055,0.9978,0.0100,0.3554
2,1,0.3890,0.0104,0.9993,-0.0028
3,1,0.0494,0.3520,-0.0003,0.9992
4,0,-0.1180,-0.2165,0.1487,-0.0321
5,0,-0.1491,0.1642,-0.1237,0.1030
6,0,0.0276,-0.0252,-0.0601,-0.1110
7,0,0.0506,0.0955,0.0118,-0.0577
8,0,-0.0954,0.0430,0.0285,0.0221
9,0,-0.0080,-0.0123,-0.0111,-0.1175
10,0,-0.0378,0.2241,-0.0551,0.1958
11,0,-0.0781,0.2157,-0.0781,0.0937
12,0,0.0552,0.2277,-0.0084,0.0856
13,0,-0.1576,0.0510,0.0737,-0.0180
14,0,0.1402,0.1726,0.0248,0.0072
15,0,0.1272,0.0790,-0.0400,-0.0769
16,0,0.0145,0.0331,0.1583,0.2073
17,0,0.2571,-0.0059,0.2129,0.0778
18,0,0.0874,0.0043,0.0910,-0.2069
19,0,0.1111,0.1190,0.1460,0.2018
20,0,0.0030,-0.0222,0.0144,-0.2150
21,0,0.1373,-0.1436,0.1228,-0.0580
22,0,-0.3078,0.0600,-0.1287,-0.0025
23,0,-0.1121,0.0294,0.2210,0.0216
24,0,-0.2694,0.1765,-0.1287,-0.0494
25,0,0.0452,-0.2194,0.1565,-0.0033
26,0,0.1454,0.1891,0.2380,-0.0241
27,0,0.0814,0.0235,-0.1423,-0.0205
28,0,-0.0996,-0.0222,0.0765,-0.1692
29,0,0.1792,-0.0248,-0.0860,0.0819
30,0,-0.0861,0.0152,-0.0378,-0.1249
31,0,0.1257,-0.1270,0.1495,0.1058
32,0,-0.0402,0.0597,-0.1194,-0.1812
33,0,-0.0520,0.1696,-0.0882,0.0105
34,0,-0.0971,0.1884,-0.0773,0.0364
35,0,0.0319,-0.0628,-0.0378,-0.0735
36,0,-0.0180,0.1562,-0.0024,0.0596
37,0,-0.0344,-0.0068,0.2562,0.0894
38,0,0.0159,0.0808,0.0701,0.1121
39,0,-0.1302,-0.0861,-0.0478,-0.0320
40,0,-0.1430,-0.2473,-0.0026,-0.2113
41,0,0.1758,0.0844,0.1144,-0.0409
42,0,-0.0753,0.0129,0.0916,0.0322
43,0,-0.0898,-0.2155,-0.0731,-0.1380
44,0,0.0514,0.0372,-0.0352,-0.0183
45,0,0.0480,-0.2304,-0.0399,-0.1279
46,0,-0.1806,0.0315,-0.0157,0.0292
47,0,-0.0611,-0.0095,-0.2031,0.1056
48,0,-0.0777,0.2087,-0.0820,0.1821
49,0,0.2008,0.0627,-0.1368,-0.0223
50,0,0.0199,0.1245,-0.1077,0.0404
51,0,-0.0922,0.0746,-0.0860,0.0735
52,0,0.1784,0.0095,-0.0205,-0.0875
53,0,0.0782,-0.1964,-0.2143,-0.2454
54,0,0.0574,0.0820,-0.1112,0.2192
55,0,0.1192,-0.1102,-0.0864,-0.0130
56,0,0.1459,0.0922,0.1317,0.0638
57,0,0.1661,0.1215,0.1403,0.0538
58,0,-0.0266,-0.1500,-0.1436,0.0757
59,0,-0.1162,-0.2228,0.0442,-0.2204
60,0,0.1335,-0.0692,0.1336,-0.0010
61,0,-0.0718,0.1246,0.1892,-0.0004
62,0,-0.1656,0.0476,-0.1514,0.0776
63,0,0.1506,-0.1003,-0.1379,-0.0141
64,0,-0.0277,-0.1262,0.1232,0.0340
65,0,-0.2905,0.0964,-0.0696,0.0475
66,0,0.0701,-0.1052,-0.0297,-0.1304
