run,model,pred_step,mlp_theta_mae,mlp_x_r2,mlp_y_r2,lin_theta_mae,direct_theta_mae,a_v_learned,true_gain,a_v/true (bias),predict_pos_err,predict_theta_mae
run07_64x64_ring,ego (frozen),1,1.9993,0.9940,0.9947,2.1772,2.2027,,,,,
run07_64x64_ring,ego (learnable),4,2.5584,0.9964,0.9952,6.7420,2.6748,1.1071,1.0000,1.107,0.0380,2.6852
run07_64x64_ring,grounded (block-anchor),1,12.8784,0.9820,0.9833,43.1640,,,,,,
run07_64x64_ring,grounded (block-anchor),4,2.4376,0.9950,0.9951,4.4869,,,,,,
run07_64x64_ring,residual (anchor),1,3.1446,0.9974,0.9971,4.0240,,,,,,
run07_64x64_ring,residual (anchor),4,2.1029,0.9975,0.9973,2.3949,,,,,,
run07_64x64_ring,residual (readout),1,2.5249,0.9982,0.9980,2.8639,,,,,,
run07_64x64_ring,residual (readout),4,2.2406,0.9976,0.9977,2.7540,,,,,,
run08_64x64_actuator,ego (frozen),1,1.9140,0.9951,0.9961,1.9573,1.9755,1.0000,0.7000,1.429,,
run08_64x64_actuator,ego (learnable),1,1.8843,0.9951,0.9959,1.9338,2.0147,0.7532,0.7000,1.076,,
run08_64x64_actuator,ego (learnable),4,2.1291,0.9963,0.9965,4.6995,2.1640,0.7872,0.7000,1.125,0.0382,2.1738
run08_64x64_actuator,grounded (block-anchor),1,5.0348,0.9915,0.9921,6.4495,,,,,,
run08_64x64_actuator,grounded (block-anchor),4,2.0317,0.9974,0.9973,3.3108,,,,,,
run08_64x64_actuator,residual (anchor),1,3.9194,0.9961,0.9959,4.9492,,,,,,
run08_64x64_actuator,residual (anchor),4,1.7623,0.9981,0.9979,1.9479,,,,,,
run08_64x64_actuator,residual (readout),1,3.3734,0.9978,0.9981,3.9707,,,,,,
run08_64x64_actuator,residual (readout),4,2.0833,0.9982,0.9981,2.4115,,,,,,
