model,horizon_transitions,horizon_simsteps,pos_err,theta_mae_deg
ego (learnable a_v),0,0,0.0343,2.8962
ego (learnable a_v),1,4,0.0354,2.9253
ego (learnable a_v),2,8,0.0372,2.9185
ego (learnable a_v),3,12,0.0371,3.0196
ego (learnable a_v),4,16,0.0383,3.0861
ego (learnable a_v),5,20,0.0404,2.9810
ego (learnable a_v),6,24,0.0435,3.0834
ego (learnable a_v),7,28,0.0476,3.1742
ego (learnable a_v),8,32,0.0501,3.2261
ego (learnable a_v),9,36,0.0533,3.2671
ego (learnable a_v),10,40,0.0578,3.3792
ego (learnable a_v),11,44,0.0627,3.4692
ego (learnable a_v),12,48,0.0685,3.4807
residual JEPA + anchor,0,0,0.1797,7.7332
residual JEPA + anchor,1,4,0.1702,7.6596
residual JEPA + anchor,2,8,0.1764,7.8627
residual JEPA + anchor,3,12,0.1939,7.8546
residual JEPA + anchor,4,16,0.2163,8.6545
residual JEPA + anchor,5,20,0.2366,9.4671
residual JEPA + anchor,6,24,0.2582,10.2870
residual JEPA + anchor,7,28,0.2799,11.1079
residual JEPA + anchor,8,32,0.2805,12.9724
residual JEPA + anchor,9,36,0.3216,12.9873
residual JEPA + anchor,10,40,0.3543,14.9996
residual JEPA + anchor,11,44,0.3802,14.7123
residual JEPA + anchor,12,48,0.4078,15.5717
residual JEPA + readout,0,0,0.1624,2.7646
residual JEPA + readout,1,4,0.1723,3.3103
residual JEPA + readout,2,8,0.1865,4.4809
residual JEPA + readout,3,12,0.2144,5.6294
residual JEPA + readout,4,16,0.2287,5.9505
residual JEPA + readout,5,20,0.2358,7.0693
residual JEPA + readout,6,24,0.2287,7.7453
residual JEPA + readout,7,28,0.2294,8.3674
residual JEPA + readout,8,32,0.2269,9.5493
residual JEPA + readout,9,36,0.2211,9.9418
residual JEPA + readout,10,40,0.2231,11.2184
residual JEPA + readout,11,44,0.2510,11.0291
residual JEPA + readout,12,48,0.2860,12.4865
grounded + block anchor,0,0,0.0225,2.6384
grounded + block anchor,1,4,0.0196,2.6384
grounded + block anchor,2,8,0.0333,2.6384
grounded + block anchor,3,12,0.0534,2.6921
grounded + block anchor,4,16,0.0734,2.7010
grounded + block anchor,5,20,0.0944,2.7691
grounded + block anchor,6,24,0.1157,2.7692
grounded + block anchor,7,28,0.1375,2.9498
grounded + block anchor,8,32,0.1566,2.8920
grounded + block anchor,9,36,0.1779,3.0706
grounded + block anchor,10,40,0.1959,3.1139
grounded + block anchor,11,44,0.2152,3.1540
grounded + block anchor,12,48,0.2350,3.2549
