model,residual,v_bin,v_err,pos_err,n
ego,none,0.0201,0.047284,0.022741,317
ego,none,0.0604,0.032760,0.016093,1637
ego,none,0.1006,0.019952,0.013180,4088
ego,none,0.1409,0.013897,0.012575,9446
ego,none,0.1811,0.011427,0.014414,17925
ego,none,0.2214,0.013658,0.018990,26329
ego,none,0.2616,0.021717,0.026497,27951
ego,none,0.3019,0.032771,0.035476,21217
ego,none,0.3421,0.044611,0.045179,11887
ego,none,0.3824,0.047098,0.054548,3649
ego,basis,0.0201,0.057878,0.021719,317
ego,basis,0.0604,0.035653,0.015321,1637
ego,basis,0.1006,0.020773,0.012729,4088
ego,basis,0.1409,0.013707,0.012359,9446
ego,basis,0.1811,0.010634,0.013756,17925
ego,basis,0.2214,0.011855,0.017373,26329
ego,basis,0.2616,0.017644,0.023815,27951
ego,basis,0.3019,0.026596,0.031893,21217
ego,basis,0.3421,0.036684,0.041189,11887
ego,basis,0.3824,0.044306,0.050717,3649
ego,mlp,0.0201,0.028299,0.019836,317
ego,mlp,0.0604,0.027274,0.016326,1637
ego,mlp,0.1006,0.021518,0.013385,4088
ego,mlp,0.1409,0.015817,0.012917,9446
ego,mlp,0.1811,0.013741,0.013840,17925
ego,mlp,0.2214,0.017210,0.016634,26329
ego,mlp,0.2616,0.024993,0.022417,27951
ego,mlp,0.3019,0.034668,0.029624,21217
ego,mlp,0.3421,0.043833,0.037976,11887
ego,mlp,0.3824,0.041782,0.046024,3649
grounded,none,0.0201,0.058334,0.017087,317
grounded,none,0.0604,0.039223,0.013176,1637
grounded,none,0.1006,0.023000,0.009907,4088
grounded,none,0.1409,0.015637,0.009083,9446
grounded,none,0.1811,0.011417,0.011074,17925
grounded,none,0.2214,0.011957,0.017227,26329
grounded,none,0.2616,0.019293,0.026148,27951
grounded,none,0.3019,0.030263,0.036348,21217
grounded,none,0.3421,0.041087,0.048458,11887
grounded,none,0.3824,0.044769,0.059854,3649
grounded,basis,0.0201,0.069194,0.022249,317
grounded,basis,0.0604,0.043193,0.017868,1637
grounded,basis,0.1006,0.025558,0.012736,4088
grounded,basis,0.1409,0.016654,0.010920,9446
grounded,basis,0.1811,0.011741,0.012285,17925
grounded,basis,0.2214,0.010487,0.018358,26329
grounded,basis,0.2616,0.013548,0.028892,27951
grounded,basis,0.3019,0.019506,0.042040,21217
grounded,basis,0.3421,0.026269,0.056857,11887
grounded,basis,0.3824,0.031819,0.071227,3649
grounded,mlp,0.0201,0.037871,0.021376,317
grounded,mlp,0.0604,0.031017,0.014906,1637
grounded,mlp,0.1006,0.022749,0.011195,4088
grounded,mlp,0.1409,0.017696,0.010179,9446
grounded,mlp,0.1811,0.014308,0.014436,17925
grounded,mlp,0.2214,0.012694,0.025080,26329
grounded,mlp,0.2616,0.013468,0.038758,27951
grounded,mlp,0.3019,0.015733,0.053351,21217
grounded,mlp,0.3421,0.018054,0.068645,11887
grounded,mlp,0.3824,0.017858,0.083569,3649
