step,epoch,total,recon,dyn,pred_recon,a_v,a_omega,state_std
50,1,0.08782599866390228,0.0034668752923607826,0.01618003100156784,0.0034589706920087337,1.0,1.0,7.588935841340572e-05
100,2,0.07673170417547226,0.0034541927743703127,0.013968577608466148,0.0034346217289566994,1.0,1.0,5.743008659919724e-05
150,2,0.08400599658489227,0.003395117586478591,0.01543614361435175,0.0034301578998565674,1.0,1.0,5.687101656803861e-05
200,3,0.08425816148519516,0.0034557869657874107,0.01547565683722496,0.0034240863751620054,1.0,1.0,4.502426236285828e-05
250,3,0.08472971618175507,0.003444219473749399,0.015572480857372284,0.0034230947494506836,1.0,1.0,8.948718459578231e-05
300,4,0.0812099277973175,0.0034327637404203415,0.014868427999317646,0.003435020335018635,1.0,1.0,0.00010710641799960285
350,4,0.08161013573408127,0.0034291944466531277,0.014948733150959015,0.003437270876020193,1.0,1.0,0.0001922883529914543
400,5,0.08292315900325775,0.003392858197912574,0.015220644883811474,0.003427070565521717,1.0,1.0,0.0004394209827296436
450,5,0.08276181668043137,0.003411058569326997,0.015182807110249996,0.0034367202315479517,1.0,1.0,0.0008493989007547498
500,6,0.08908963203430176,0.0034265494905412197,0.016448328271508217,0.003421443747356534,1.0,1.0,0.0022558949422091246
550,6,0.07335038483142853,0.003432231955230236,0.013303242623806,0.003401941154152155,1.0,1.0,0.002058231271803379
600,7,0.08361925184726715,0.003450954332947731,0.015346196480095387,0.003437319304794073,1.0,1.0,0.003673629369586706
650,8,0.09124016016721725,0.003462411928921938,0.01687234826385975,0.003416005987673998,1.0,1.0,0.006218619644641876
700,8,0.0831184834241867,0.0034172115847468376,0.015251253731548786,0.0034450101666152477,1.0,1.0,0.010982055217027664
750,9,0.0790553167462349,0.003444996662437916,0.014428302645683289,0.0034688040614128113,1.0,1.0,0.014615235850214958
800,9,0.07633095979690552,0.0034410085063427687,0.013893978670239449,0.0034200611989945173,1.0,1.0,0.018653504550457
850,10,0.08286027610301971,0.003399691777303815,0.015205650590360165,0.0034323367290198803,1.0,1.0,0.021099258214235306
900,10,0.0885954350233078,0.0034285413566976786,0.01634630188345909,0.0034353844821453094,1.0,1.0,0.014779042452573776
950,11,0.07604452222585678,0.003415876068174839,0.013839596882462502,0.00343066593632102,1.0,1.0,0.022046376019716263
1000,11,0.07911250740289688,0.003419571090489626,0.014451073482632637,0.0034375698305666447,1.0,1.0,0.019174885004758835
1050,12,0.07950824499130249,0.0034200376830995083,0.014534760266542435,0.003414409002289176,1.0,1.0,0.007303774356842041
1100,12,0.085634745657444,0.003413880243897438,0.015760667622089386,0.003417528234422207,1.0,1.0,0.008007432334125042
1150,13,0.08032754808664322,0.0033965613692998886,0.014700842089951038,0.003426774637773633,1.0,1.0,0.010801649652421474
1200,14,0.08211243897676468,0.0033895752858370543,0.015061793848872185,0.0034138949122279882,1.0,1.0,0.010578721761703491
1250,14,0.07881321758031845,0.0034303918946534395,0.014398262836039066,0.0033915103413164616,1.0,1.0,0.012869215570390224
1300,15,0.07667461782693863,0.0034138555638492107,0.01396891288459301,0.0034161973744630814,1.0,1.0,0.017764262855052948
1350,15,0.08849318325519562,0.0034079994075000286,0.01633342355489731,0.0034180679358541965,1.0,1.0,0.024020910263061523
1400,16,0.0839376226067543,0.0034115181770175695,0.015423174947500229,0.0034102245699614286,1.0,1.0,0.019193267449736595
1450,16,0.08235524594783783,0.0034176683984696865,0.015105580911040306,0.003409671364352107,1.0,1.0,0.018520599231123924
1500,17,0.0943099781870842,0.003460225649178028,0.017489058896899223,0.0034044503699988127,1.0,1.0,0.011644979007542133
1550,17,0.0782080888748169,0.003421574831008911,0.014272106811404228,0.0034259778913110495,1.0,1.0,0.024375692009925842
1600,18,0.08753535151481628,0.0034313281066715717,0.016136592254042625,0.0034210586454719305,1.0,1.0,0.022898808121681213
1650,18,0.07638976722955704,0.0034061716869473457,0.013912556692957878,0.003420809283852577,1.0,1.0,0.017852742224931717
1700,19,0.08600111305713654,0.0034373868256807327,0.015824656933546066,0.003440435975790024,1.0,1.0,0.01566014252603054
1750,20,0.07968784123659134,0.003401705529540777,0.0145681481808424,0.00344539200887084,1.0,1.0,0.03250015899538994
1800,20,0.09586181491613388,0.003387653036043048,0.01781138963997364,0.0034172197338193655,1.0,1.0,0.02208525687456131
