dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,-0.0363,-0.0547,-0.0208,-0.0512
1,1,0.1535,-0.0964,0.0912,-0.0251
2,1,-0.0332,-0.4594,0.0004,-0.1628
3,1,0.0329,0.4602,-0.0006,0.1631
4,0,-0.4849,0.0055,-0.1607,-0.0465
5,0,0.0573,-0.2020,0.0003,-0.0349
6,0,0.0708,0.4145,0.0107,0.1515
7,0,0.0867,-0.0215,0.0314,0.0370
8,0,0.1463,0.2156,0.0242,0.0709
9,0,0.0436,0.5419,0.0077,0.1894
10,0,0.2438,0.1756,0.0832,0.0277
11,0,-0.3969,-0.1738,-0.1035,-0.0719
12,0,0.0057,0.1675,0.0007,0.0892
13,0,0.3771,0.0778,0.1214,0.0915
14,0,-0.1882,0.1999,-0.0535,0.0247
15,0,0.2892,0.3744,0.0985,0.1306
16,0,0.0824,0.4748,0.0110,0.1871
17,0,0.2610,0.1117,0.0824,0.0022
18,0,0.2386,0.1738,0.0749,0.0665
19,0,-0.5585,0.1300,-0.2059,0.0304
20,0,-0.3138,-0.1672,-0.0977,-0.0720
21,0,0.3116,0.2419,0.1093,0.0913
22,0,-0.0808,0.0036,-0.0486,0.0118
23,0,-0.2518,0.1372,-0.0608,0.0225
24,0,-0.3294,0.0028,-0.0829,-0.0052
25,0,-0.5581,0.4323,-0.2130,0.1274
26,0,0.0412,0.2924,0.0092,0.0797
27,0,0.2927,0.2254,0.0979,0.0827
28,0,-0.2332,-0.0818,-0.0934,-0.0572
29,0,-0.2927,0.0243,-0.0887,0.0416
30,0,0.0535,0.0415,0.0275,0.0492
31,0,-0.0563,-0.2991,-0.0150,-0.0821
32,0,0.0286,0.4248,-0.0009,0.1290
33,0,0.2226,-0.0883,0.0628,-0.0224
34,0,0.2046,-0.1013,0.0455,0.0067
35,0,0.1602,0.1759,0.0408,0.1049
36,0,-0.0830,0.0212,-0.0517,0.0346
37,0,-0.2812,0.0857,-0.0737,0.0697
38,0,0.1161,0.2086,-0.0196,0.0600
39,0,-0.2716,-0.4433,-0.0773,-0.1233
40,0,-0.4863,0.0673,-0.1689,0.0627
41,0,0.1723,0.0138,0.0595,0.0081
42,0,0.4405,0.1686,0.1572,0.0472
43,0,-0.1891,0.1800,-0.0624,0.0656
44,0,0.2466,-0.0592,0.0430,0.0088
45,0,0.4007,-0.1509,0.1622,-0.0139
46,0,0.0090,-0.2822,-0.0250,-0.0684
47,0,-0.3645,-0.2446,-0.1000,-0.0703
48,0,0.0902,0.3357,0.0508,0.1132
49,0,-0.0272,0.1115,-0.0529,0.0488
50,0,-0.2050,0.1162,-0.0495,0.0248
51,0,0.2751,0.0440,0.0939,0.0446
52,0,0.4367,-0.0624,0.1326,-0.0546
53,0,-0.0564,-0.2499,0.0008,-0.0948
54,0,0.4451,-0.1012,0.1748,-0.0565
55,0,-0.1296,-0.3559,-0.0589,-0.1121
56,0,-0.0572,0.4115,0.0035,0.1314
57,0,-0.2260,0.1514,-0.0658,0.0629
58,0,-0.1386,0.2299,-0.0522,0.0523
59,0,-0.3330,0.1201,-0.0820,0.0205
60,0,-0.1318,-0.0127,-0.0472,0.0405
61,0,-0.3038,0.0446,-0.0886,0.0145
62,0,0.3336,-0.3494,0.0889,-0.1205
63,0,0.2601,0.2150,0.0649,0.1116
64,0,0.2314,-0.1785,0.0827,-0.0266
65,0,-0.1375,0.2449,-0.0779,0.1211
66,0,-0.2453,-0.2109,-0.0853,-0.1067
67,0,0.1026,0.1312,0.0202,-0.0151
68,0,0.1882,0.3522,0.0586,0.1185
69,0,0.3305,-0.1142,0.1085,-0.0775
70,0,-0.4872,-0.0304,-0.1805,-0.0644
71,0,-0.1952,0.0502,-0.0919,-0.0002
72,0,0.0969,-0.3071,0.0618,-0.1105
73,0,-0.1370,0.1099,-0.0509,0.0210
74,0,-0.0372,0.0898,-0.0076,0.0031
75,0,-0.0448,-0.2805,0.0301,-0.1396
76,0,0.0450,-0.2199,0.0276,-0.0249
77,0,0.0179,0.0176,0.0075,0.0397
78,0,0.2464,0.1258,0.0865,0.0017
79,0,0.2056,0.3602,0.0497,0.1469
80,0,0.3118,0.4865,0.0797,0.1701
81,0,-0.0220,-0.1289,-0.0106,-0.0510
82,0,0.0039,-0.4334,0.0000,-0.1266
83,0,-0.1706,-0.0077,-0.0447,-0.0348
84,0,0.1024,0.2748,0.0204,0.1394
85,0,0.2415,0.1969,0.0909,0.0053
86,0,0.1374,-0.3807,0.0610,-0.1235
87,0,0.2809,-0.1857,0.0748,-0.0851
88,0,-0.4047,0.1945,-0.1591,0.0458
89,0,0.1925,0.2418,0.0731,0.1274
90,0,0.3396,-0.4062,0.1026,-0.1451
91,0,-0.3360,-0.1839,-0.0869,-0.0732
92,0,0.0376,0.2455,0.0076,0.0845
93,0,-0.0473,0.2028,0.0160,0.0367
94,0,0.5893,0.0594,0.1676,0.0137
95,0,-0.3502,0.1379,-0.1174,0.0019
96,0,-0.2758,0.2524,-0.0728,0.0773
97,0,-0.1333,0.2648,-0.0463,0.0265
98,0,-0.3408,-0.2956,-0.1062,-0.1065
99,0,0.2342,-0.2887,0.1047,-0.0809
100,0,-0.1850,-0.1364,-0.0987,-0.0466
101,0,0.0426,0.0911,0.0324,-0.0068
102,0,0.1802,0.0413,0.0747,0.0059
103,0,-0.2711,-0.3420,-0.0828,-0.1657
