dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.0015,-0.0012,0.0143,-0.0125
1,1,-0.2247,-0.0220,-0.1519,0.0590
2,1,0.1093,-0.1892,0.0919,-0.1024
3,1,-0.1092,0.1891,-0.0919,0.1025
4,0,0.4536,-0.1276,0.1537,-0.0164
5,0,-0.2099,-0.3919,-0.0781,-0.1389
6,0,-0.1161,-0.3886,-0.0267,-0.1373
7,0,0.0432,0.6033,-0.0008,0.2036
8,0,-0.2072,0.1228,-0.0944,0.0664
9,0,0.1114,0.3720,0.0418,0.1633
10,0,-0.1347,0.1400,-0.0292,-0.0395
11,0,0.0067,0.4476,-0.0024,0.2025
12,0,0.0124,0.2370,-0.0301,0.0840
13,0,0.3817,0.2796,0.1315,0.1126
14,0,0.0007,0.3293,-0.0709,0.1052
15,0,0.0016,-0.1960,-0.0174,-0.0885
16,0,0.4590,0.4884,0.0979,0.1631
17,0,-0.1699,0.1740,-0.0886,0.0915
18,0,0.3373,-0.3099,0.1535,-0.1456
19,0,0.3082,-0.2184,0.1079,-0.1185
20,0,0.3831,-0.1633,0.1316,-0.0371
21,0,-0.1190,-0.0095,-0.0308,0.0195
22,0,-0.2132,0.0352,-0.1097,-0.0607
23,0,0.4191,-0.2862,0.1749,-0.0829
24,0,-0.0672,0.1392,-0.0371,0.0618
25,0,0.5971,0.0616,0.1797,0.0208
26,0,0.1698,0.4711,0.0221,0.0654
27,0,0.0982,0.2036,0.0090,0.1048
28,0,-0.1285,-0.1971,-0.0610,-0.0366
29,0,-0.3288,-0.0742,-0.1221,-0.0505
30,0,0.2359,0.1776,0.0537,0.0867
31,0,0.1539,-0.4860,0.0634,-0.1818
32,0,-0.0129,0.4144,-0.0339,0.2142
33,0,0.2197,-0.4203,0.0805,-0.1451
34,0,-0.2448,-0.1695,-0.0821,-0.0577
35,0,0.2176,-0.0373,0.1218,-0.0115
36,0,-0.6650,-0.1919,-0.1524,-0.0408
37,0,0.1810,0.0746,0.0681,0.0005
38,0,-0.1076,0.3814,-0.0525,0.1049
39,0,-0.1767,-0.2836,-0.0581,-0.1251
40,0,0.2608,-0.1958,0.0793,-0.0554
41,0,-0.1702,0.2149,-0.0440,0.0352
42,0,0.1014,0.1751,0.0696,0.0397
43,0,-0.0671,-0.0739,-0.0159,-0.0385
44,0,-0.5804,-0.2890,-0.1995,-0.0735
45,0,0.1391,-0.0334,0.0857,-0.0230
46,0,0.0671,-0.0536,0.0401,0.0067
47,0,0.3520,-0.3365,0.1388,-0.0921
48,0,-0.0424,0.6594,-0.0243,0.2005
49,0,0.0674,0.2111,-0.0369,0.0705
50,0,-0.4959,-0.2655,-0.1239,-0.0504
51,0,-0.0713,-0.0371,-0.0130,-0.0343
52,0,-0.3592,-0.2794,-0.1096,-0.0733
53,0,0.4760,0.2922,0.1933,0.0479
54,0,-0.0864,-0.4666,0.0497,-0.1419
55,0,0.4894,0.1907,0.1636,0.0643
56,0,0.0458,0.3057,-0.0280,0.1494
57,0,0.1781,-0.2358,0.0409,-0.0754
58,0,0.0335,0.3712,0.0217,0.0971
59,0,-0.1441,0.1143,-0.0422,0.0718
60,0,0.4982,-0.0352,0.1800,-0.0334
61,0,-0.0319,-0.2210,0.0111,-0.0698
62,0,-0.3771,-0.1013,-0.1332,0.0186
63,0,0.1039,0.1991,0.0293,0.0228
64,0,-0.3055,0.3416,-0.1351,0.0891
65,0,0.0450,-0.3696,0.0037,-0.0920
66,0,0.2605,0.2456,0.0788,0.0500
67,0,0.0973,0.1139,0.0308,0.0559
68,0,0.1144,-0.2573,0.0373,-0.0460
69,0,0.1314,0.0028,0.0242,-0.0117
70,0,0.1413,0.1025,0.0976,0.0507
71,0,0.2144,0.0981,0.0932,0.0607
72,0,-0.1347,-0.2752,-0.0661,-0.0705
73,0,-0.3111,-0.3414,-0.1585,-0.1122
74,0,-0.0898,0.6124,-0.0312,0.2094
75,0,0.1215,-0.3530,0.0200,-0.0843
76,0,-0.0775,0.0197,-0.0333,-0.0046
77,0,-0.0792,0.3465,-0.0483,0.0766
78,0,0.0665,-0.4451,0.0354,-0.1234
79,0,0.0078,-0.0577,0.0434,-0.0288
80,0,0.6440,-0.0459,0.2012,-0.0335
81,0,0.0591,-0.0118,0.0381,-0.0462
82,0,0.1777,-0.6150,0.1041,-0.2139
83,0,0.4296,-0.0624,0.2023,-0.0045
84,0,0.0987,0.0229,0.0257,0.0284
85,0,-0.3458,-0.0279,-0.1160,-0.0274
86,0,0.3704,0.2037,0.1392,0.0605
87,0,-0.2936,-0.1788,-0.1326,-0.0464
88,0,0.2019,0.0297,0.0338,0.0498
89,0,-0.3311,0.1686,-0.0743,0.1055
90,0,-0.4726,-0.1437,-0.1825,-0.0582
91,0,-0.1695,-0.7569,-0.0025,-0.2956
92,0,0.1766,-0.2265,0.0777,-0.0849
93,0,0.2267,-0.1553,0.1189,-0.0784
94,0,-0.4512,0.0938,-0.1938,0.0546
95,0,-0.4120,0.1353,-0.1686,0.0000
96,0,0.4318,0.3259,0.1252,0.1235
97,0,-0.1748,-0.0950,-0.0314,-0.0115
98,0,-0.0598,0.1780,0.0071,0.0169
99,0,0.2085,-0.0180,0.0947,-0.0660
100,0,-0.0120,0.0908,-0.0261,0.0296
101,0,0.0204,0.1670,-0.0095,0.0417
102,0,0.0126,-0.0383,0.0292,-0.0813
103,0,0.1456,-0.4231,0.0598,-0.1416
104,0,0.1948,0.4203,0.0169,0.1974
105,0,0.2485,-0.1777,0.1173,-0.0830
106,0,-0.0773,0.0880,-0.0301,0.0405
107,0,0.0522,-0.2606,0.0140,-0.1316
108,0,-0.3126,-0.2429,-0.0626,-0.0728
109,0,-0.3125,-0.3145,-0.0846,-0.0847
110,0,0.6691,0.0135,0.2057,0.0239
111,0,-0.4966,0.2314,-0.1543,0.0651
112,0,0.0194,0.0461,-0.0258,-0.0102
113,0,-0.0747,-0.6466,0.0330,-0.2165
114,0,0.5289,0.1702,0.1632,0.0365
115,0,-0.1580,0.1955,-0.1027,0.0785
116,0,-0.5339,-0.1306,-0.1881,0.0079
117,0,0.2986,-0.3653,0.0991,-0.1201
118,0,-0.0484,0.1678,-0.0104,0.0625
119,0,0.0118,-0.1387,-0.0090,-0.0405
120,0,0.0287,-0.1574,0.0384,-0.0659
121,0,0.1542,-0.4182,0.0852,-0.1558
122,0,0.0319,0.2009,0.0272,0.0681
123,0,0.2626,0.2285,0.0601,0.1170
124,0,0.4674,-0.3677,0.1810,-0.1404
125,0,-0.1609,-0.1780,-0.0336,-0.0425
126,0,0.0867,0.0799,0.0129,-0.0007
127,0,-0.1085,-0.0121,-0.0156,0.0378
