step,epoch,total,recon,dyn,pred_recon,var,anchor,anchor_pred,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.2342617511749268,0.46234989166259766,0.0022294381633400917,0.48091012239456177,0.0,0.2887723445892334,0.0,1.0,1.0,0.47676052898168564,0.26830390095710754,0.23050463199615479,0.7713189125061035,0.6369146704673767
100,1,0.8790885806083679,0.2741791307926178,0.0032275160774588585,0.29094019532203674,0.0,0.31074172258377075,0.0,1.0,1.0,0.4767576642334461,0.23449645936489105,0.25978657603263855,0.6974461078643799,0.715301513671875
150,1,0.7824528217315674,0.22526907920837402,0.004203619435429573,0.24682186543941498,0.0,0.30615824460983276,0.0,1.0,1.0,0.47148995473980904,0.23197126388549805,0.2401968389749527,0.7246005535125732,0.6891911625862122
200,1,0.7206343412399292,0.2020019292831421,0.0038587921299040318,0.22222784161567688,0.0,0.29254579544067383,0.0,1.0,1.0,0.47010689973831177,0.23276183009147644,0.23366954922676086,0.6894012093544006,0.7245950102806091
250,1,0.6591025590896606,0.19272541999816895,0.005216672085225582,0.20237353444099426,0.0,0.2587868869304657,0.0,1.0,1.0,0.470493346452713,0.2415548413991928,0.2288595587015152,0.6984813213348389,0.7130776643753052
300,1,0.6472613215446472,0.1760263442993164,0.00740704033523798,0.1879452019929886,0.0,0.2758827209472656,0.0,1.0,1.0,0.4945964366197586,0.2931211590766907,0.27004188299179077,0.7009413838386536,0.7142813205718994
350,1,0.6254147291183472,0.16847330331802368,0.004488766193389893,0.173160582780838,0.0,0.2792920470237732,0.0,1.0,1.0,0.4748237580060959,0.26111695170402527,0.2253689467906952,0.7115285396575928,0.7012805938720703
400,2,0.603172242641449,0.16832180321216583,0.0039016427472233772,0.1729028820991516,0.0,0.25804591178894043,0.0,1.0,1.0,0.47427456825971603,0.2433251291513443,0.2393142133951187,0.695756733417511,0.7187021970748901
450,2,0.5731303095817566,0.15257810056209564,0.00611746683716774,0.16690976917743683,0.0,0.24752499163150787,0.0,1.0,1.0,0.47820398956537247,0.24545064568519592,0.25117701292037964,0.7057738304138184,0.710414469242096
500,2,0.5575411319732666,0.14101570844650269,0.005402281414717436,0.15038138628005981,0.0,0.2607417702674866,0.0,1.0,1.0,0.480229489505291,0.25248727202415466,0.2519826889038086,0.7011138200759888,0.7153341770172119
550,2,0.541478157043457,0.14113301038742065,0.002940848469734192,0.14525766670703888,0.0,0.2521466612815857,0.0,1.0,1.0,0.47587573900818825,0.24716411530971527,0.2399931252002716,0.7138471007347107,0.7024986147880554
600,2,0.5191255211830139,0.13019037246704102,0.003629090264439583,0.1415655016899109,0.0,0.24374055862426758,0.0,1.0,1.0,0.4872667267918587,0.25783658027648926,0.27595821022987366,0.6951695680618286,0.7201025485992432
650,2,0.4969688057899475,0.1252579391002655,0.004336927086114883,0.13516029715538025,0.0,0.23221364617347717,0.0,1.0,1.0,0.4820699319243431,0.25147271156311035,0.26058921217918396,0.7185370922088623,0.6976807117462158
700,2,0.5183823108673096,0.12470594048500061,0.005247602239251137,0.13227292895317078,0.0,0.2561558485031128,0.0,1.0,1.0,0.4833074323832989,0.24058331549167633,0.2832997143268585,0.6918089985847473,0.7175377011299133
750,2,0.49669814109802246,0.12066397070884705,0.004100968595594168,0.13000963628292084,0.0,0.24192358553409576,0.0,1.0,1.0,0.4852598309516907,0.2526523172855377,0.2748492658138275,0.7133631706237793,0.7001745700836182
800,3,0.47116145491600037,0.11647818237543106,0.0038121724501252174,0.12694570422172546,0.0,0.2239253968000412,0.0,1.0,1.0,0.49350473284721375,0.2647002935409546,0.29397130012512207,0.7126262187957764,0.702721118927002
850,3,0.4418414533138275,0.117171511054039,0.004197502043098211,0.12858927249908447,0.0,0.1918831765651703,0.0,1.0,1.0,0.4828816056251526,0.26054856181144714,0.2593208849430084,0.7566843032836914,0.6549726724624634
900,3,0.5082215070724487,0.11580006778240204,0.004440728574991226,0.12227515876293182,0.0,0.26570555567741394,0.0,1.0,1.0,0.4908698946237564,0.2571198642253876,0.28941503167152405,0.7126209735870361,0.7043237090110779
950,3,0.44805067777633667,0.10456155240535736,0.004223984200507402,0.11724278330802917,0.0,0.22202236950397491,0.0,1.0,1.0,0.4758700653910637,0.2278256118297577,0.26439911127090454,0.7152040600776672,0.6960514783859253
1000,3,0.3972921371459961,0.10678064823150635,0.004496108274906874,0.11761149764060974,0.0,0.16840387880802155,0.0,1.0,1.0,0.4793947637081146,0.23256433010101318,0.2750399708747864,0.7038406133651733,0.7061341404914856
1050,3,0.4245445132255554,0.10566483438014984,0.004737066105008125,0.1200028508901596,0.0,0.1941397786140442,0.0,1.0,1.0,0.47697895020246506,0.23091068863868713,0.26747268438339233,0.7092109322547913,0.7003214955329895
1100,3,0.40967607498168945,0.10305318236351013,0.0034874556586146355,0.11151450872421265,0.0,0.19162093102931976,0.0,1.0,1.0,0.47684676572680473,0.23343725502490997,0.2576763331890106,0.7156492471694946,0.7006242275238037
1150,3,0.4371771216392517,0.10624752938747406,0.00922800786793232,0.11895986646413803,0.0,0.20274171233177185,0.0,1.0,1.0,0.4778895378112793,0.24490493535995483,0.2713104486465454,0.7245038747787476,0.6708388924598694
1200,4,0.42849189043045044,0.10897505283355713,0.003538416000083089,0.11594265699386597,0.0,0.20003576576709747,0.0,1.0,1.0,0.4726831130683422,0.22505702078342438,0.2622629702091217,0.7063774466514587,0.697035014629364
1250,4,0.4234280586242676,0.10618366301059723,0.009285807609558105,0.11868014931678772,0.0,0.18927845358848572,0.0,1.0,1.0,0.4742596819996834,0.23402893543243408,0.2539534270763397,0.723768949508667,0.6852874159812927
1300,4,0.4229487478733063,0.10685235261917114,0.006114531308412552,0.11914021521806717,0.0,0.1908416450023651,0.0,1.0,1.0,0.4735705628991127,0.2207111120223999,0.25893089175224304,0.683059573173523,0.7315806746482849
1350,4,0.42114150524139404,0.10145774483680725,0.0070864176377654076,0.11875014007091522,0.0,0.193847194314003,0.0,1.0,1.0,0.4762553758919239,0.22967351973056793,0.2641468644142151,0.7017637491226196,0.709437370300293
1400,4,0.4155345559120178,0.10867393761873245,0.00810193456709385,0.11116031557321548,0.0,0.18759837746620178,0.0,1.0,1.0,0.47628920525312424,0.23430085182189941,0.26279595494270325,0.7021617293357849,0.7058982849121094
1450,4,0.3820899426937103,0.10710753500461578,0.007168441545218229,0.11712579429149628,0.0,0.15068817138671875,0.0,1.0,1.0,0.4768036790192127,0.2387172132730484,0.25336503982543945,0.6947106122970581,0.7204218506813049
1500,4,0.40829551219940186,0.11203189194202423,0.010157939977943897,0.11966381967067719,0.0,0.16644185781478882,0.0,1.0,1.0,0.4844987094402313,0.25341174006462097,0.26829567551612854,0.7230030298233032,0.6932843923568726
1550,4,0.3903469145298004,0.10437889397144318,0.011594834737479687,0.11150143295526505,0.0,0.16287174820899963,0.0,1.0,1.0,0.47490908950567245,0.23072320222854614,0.2534373104572296,0.7070547342300415,0.7084211111068726
1600,5,0.37726637721061707,0.10352346301078796,0.009179702959954739,0.11327219009399414,0.0,0.15129101276397705,0.0,1.0,1.0,0.47565982863307,0.23212547600269318,0.25550881028175354,0.6773754954338074,0.7376295328140259
