dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9922,0.0153,0.3999,0.0001
1,1,0.0214,0.9923,-0.0332,0.3902
2,1,0.4002,-0.0297,0.9938,0.0125
3,1,0.0096,0.3858,0.0279,0.9934
4,0,0.1163,-0.0896,0.1299,0.0309
5,0,-0.1250,0.1719,-0.0468,0.0084
6,0,0.0472,0.0933,0.0099,-0.1184
7,0,-0.1525,-0.1765,-0.1554,-0.1269
8,0,-0.1748,0.0160,-0.1175,-0.0881
9,0,-0.1422,-0.1964,0.0708,-0.1014
10,0,-0.1252,0.0489,-0.0236,0.0979
11,0,0.1956,0.1760,0.1564,0.1853
12,0,0.0662,-0.0513,-0.0280,0.0673
13,0,0.2656,0.0498,0.0898,0.0465
14,0,0.0564,-0.0498,0.1058,0.1672
15,0,-0.1817,0.1817,-0.1600,0.1616
16,0,0.1776,0.0108,0.1950,-0.0193
17,0,0.0138,-0.1558,0.1878,0.0055
18,0,0.0074,-0.0500,0.0377,-0.2292
19,0,-0.1747,-0.2010,-0.1769,-0.1731
20,0,-0.0151,0.1783,-0.0693,0.2174
21,0,0.2704,0.0727,0.2369,-0.0672
22,0,-0.0934,-0.1058,0.1900,0.0410
23,0,0.0545,-0.2316,-0.0490,-0.0306
24,0,0.1271,0.0842,0.1083,0.0067
25,0,0.0832,0.0943,0.1692,0.1406
26,0,-0.1443,0.0076,-0.0841,-0.0614
27,0,0.1022,0.1306,0.0438,0.1138
28,0,0.0208,-0.2862,0.0257,-0.3025
29,0,-0.0622,-0.1111,-0.0301,-0.0077
30,0,-0.1691,0.2542,-0.1264,0.2103
31,0,-0.0165,0.1185,0.0469,0.0495
32,0,0.2394,0.1559,0.0420,0.1698
33,0,0.0482,-0.0874,0.1816,-0.0658
34,0,0.3109,0.0675,0.0581,0.1482
35,0,0.0532,-0.2030,-0.0411,-0.0909
36,0,-0.1457,0.0538,0.0726,-0.0942
37,0,-0.0979,-0.1175,-0.0857,0.0223
38,0,-0.1130,0.0136,-0.0371,0.1265
39,0,0.1686,0.0230,0.0977,-0.0616
40,0,0.2497,0.0425,0.1022,0.0601
41,0,-0.0192,-0.1162,-0.0814,-0.1973
42,0,-0.1148,-0.3689,0.1228,-0.0969
43,0,0.1508,0.2518,0.0316,0.0586
44,0,0.0816,-0.1343,0.1129,-0.0057
45,0,0.0119,-0.3384,0.0640,-0.0877
46,0,-0.0928,-0.0813,0.0103,-0.0694
47,0,-0.0075,0.0345,-0.0569,0.0740
48,0,0.1465,0.2409,0.2307,0.1085
49,0,-0.1052,-0.0578,-0.0305,-0.1481
50,0,0.0978,0.1556,0.0910,0.1603
51,0,0.0706,-0.0224,-0.1237,0.0948
52,0,0.2490,0.0479,0.0736,0.0584
53,0,-0.2543,-0.1281,-0.1440,-0.1695
54,0,0.0885,0.0474,0.0437,0.1445
55,0,0.1214,0.2087,0.0091,0.1128
56,0,0.0134,-0.1973,0.1623,-0.1188
57,0,0.1554,-0.0471,-0.0045,0.1155
58,0,-0.1688,-0.0413,-0.1361,0.0749
59,0,-0.0464,-0.1154,0.0897,-0.0240
60,0,0.0687,-0.0834,0.0868,-0.1587
61,0,-0.0770,0.1072,-0.1486,0.0667
62,0,-0.1406,0.0080,-0.0232,0.0904
63,0,-0.0664,-0.0163,-0.1074,0.0096
64,0,0.0632,-0.0201,0.1407,-0.1164
65,0,-0.1438,-0.0145,-0.0806,0.0643
66,0,0.1119,-0.1501,-0.0386,-0.0460
67,0,-0.1314,0.0890,0.0656,0.1953
68,0,-0.0704,-0.0721,-0.0536,-0.0326
69,0,0.0487,-0.1207,-0.0853,-0.0860
70,0,-0.0820,-0.0114,-0.0358,0.0460
71,0,-0.1751,0.0843,-0.1826,0.1806
72,0,0.0963,0.2111,0.0455,0.2474
73,0,-0.0485,-0.2350,-0.0494,-0.0847
74,0,-0.0357,-0.1514,0.0673,-0.2602
75,0,-0.2130,0.0960,-0.0988,-0.1283
76,0,0.1711,-0.0423,0.0777,-0.0013
77,0,-0.0617,-0.0191,0.0718,-0.0691
78,0,-0.0531,0.0347,-0.0078,-0.0454
79,0,0.1822,-0.0285,0.0847,-0.0005
80,0,0.2537,0.0571,0.2954,0.1307
81,0,-0.0661,0.1091,-0.0499,0.1479
82,0,-0.0726,0.0833,0.0356,0.1727
83,0,-0.0550,-0.0335,0.0004,0.0551
84,0,-0.0167,0.0216,-0.0116,0.1207
85,0,-0.1467,-0.0800,-0.0562,-0.0310
86,0,-0.1264,0.0465,-0.0614,0.1248
87,0,-0.0638,-0.0586,0.0574,0.0245
88,0,-0.0960,0.0137,-0.0532,0.0119
89,0,0.0761,-0.0753,0.1313,-0.0220
90,0,0.0185,0.1271,0.0275,0.1297
91,0,0.0459,-0.0427,0.0383,-0.0411
92,0,0.0466,0.0287,-0.0696,0.0709
93,0,-0.0238,0.1342,0.1473,0.1025
94,0,0.0671,-0.0197,0.1476,-0.0680
95,0,-0.1886,0.0134,-0.2147,0.0440
96,0,0.2700,-0.0089,0.1123,-0.1048
97,0,0.1153,0.2390,0.0150,0.1587
98,0,-0.0098,0.0076,-0.1145,0.0118
99,0,-0.0478,0.0251,-0.0317,0.1215
100,0,0.0561,-0.3426,-0.0638,-0.2446
101,0,0.1400,0.0373,0.1715,-0.0100
102,0,-0.0603,-0.1814,-0.1632,-0.0279
103,0,0.2521,0.0063,0.1579,-0.0182
104,0,-0.1484,-0.1533,-0.0508,-0.0508
105,0,-0.0264,-0.0078,-0.0080,0.0171
106,0,-0.0842,-0.0463,-0.0547,-0.0457
107,0,-0.0810,0.0284,0.0086,0.0936
108,0,-0.0406,-0.1872,0.0005,-0.0555
109,0,0.1358,-0.0436,-0.1392,-0.0447
110,0,0.0769,0.2625,0.1436,0.2151
111,0,0.1459,0.0846,0.0129,0.1377
112,0,0.3186,-0.0128,0.0899,0.0157
113,0,-0.0115,0.0654,0.0638,0.0700
114,0,-0.0228,0.0090,-0.0480,-0.1260
115,0,-0.1369,-0.1708,-0.2015,-0.0995
116,0,-0.1125,0.2460,-0.0729,0.1002
117,0,0.2734,0.0005,0.1845,0.0201
118,0,0.0558,-0.0770,0.0311,-0.1616
119,0,-0.0100,0.1056,-0.0577,0.1950
120,0,-0.0143,-0.1047,0.1640,-0.0697
121,0,-0.1916,-0.1204,0.0203,0.0853
122,0,-0.1472,0.0161,-0.0392,0.0175
123,0,0.0303,-0.1727,0.0123,-0.0941
124,0,0.0518,0.0171,-0.0053,0.2381
125,0,0.2292,-0.0874,0.0986,-0.1503
126,0,-0.0248,-0.0213,0.0206,-0.1041
127,0,0.0809,0.1701,-0.0922,0.0796
