dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9947,0.0220,0.3901,0.0141
1,1,0.0176,0.9953,-0.0337,0.3828
2,1,0.3757,-0.0326,0.9984,0.0158
3,1,0.0040,0.3909,0.0123,0.9980
4,0,0.0030,0.0910,-0.1627,0.0110
5,0,-0.1180,0.1053,-0.0410,0.0072
6,0,0.1861,-0.1389,0.1386,-0.2334
7,0,-0.1826,0.1592,0.0410,-0.0296
8,0,0.2544,0.0656,0.1005,-0.2109
9,0,0.1850,0.0236,0.1012,0.0046
10,0,-0.0619,-0.1992,0.0519,-0.1655
11,0,0.0801,0.0054,-0.0367,0.2742
12,0,0.1061,0.0896,0.1030,0.2363
13,0,-0.0369,0.0738,-0.1639,-0.1027
14,0,-0.2189,-0.0117,-0.1898,0.0196
15,0,0.2014,0.1533,-0.0283,0.1010
16,0,-0.1413,0.0420,-0.1738,-0.0187
17,0,-0.1386,-0.1057,-0.0045,-0.0993
18,0,0.0114,0.1105,0.1377,-0.0009
19,0,-0.0321,0.0391,-0.0373,0.0842
20,0,0.1114,0.1180,-0.0278,-0.0427
21,0,-0.1080,-0.0384,-0.1005,-0.0924
22,0,0.0172,-0.1630,0.1479,-0.1126
23,0,0.1733,-0.0470,0.1856,0.0682
24,0,0.1201,-0.1862,0.1357,-0.1546
25,0,0.1672,0.1669,-0.0549,0.2423
26,0,0.1099,0.0385,0.0339,0.0424
27,0,0.1188,0.0181,0.0215,-0.0367
28,0,-0.0166,-0.1245,0.1439,-0.1478
29,0,0.1186,-0.0414,0.0923,-0.1018
30,0,-0.1637,0.0546,-0.2499,-0.0272
31,0,0.0158,0.1136,-0.0059,0.1594
32,0,-0.0999,0.0796,-0.0482,0.0376
33,0,-0.3022,-0.0480,0.0173,0.2539
34,0,0.0553,0.0190,0.0760,0.0085
35,0,-0.0986,-0.4368,-0.0764,-0.2432
36,0,0.1198,-0.0952,-0.0372,0.0390
37,0,-0.0000,0.3185,0.0013,0.3346
38,0,-0.1914,0.3080,-0.2244,-0.0580
39,0,0.0197,-0.2585,0.0562,-0.0119
40,0,0.1053,-0.0087,-0.0571,-0.0191
41,0,0.1052,-0.0331,0.1800,0.1268
42,0,0.0632,0.0602,-0.1076,-0.0293
43,0,-0.0798,0.0375,-0.0595,-0.0632
44,0,-0.1265,-0.2308,-0.0960,-0.0243
45,0,0.1670,0.0375,0.0888,0.0403
46,0,-0.0282,-0.1836,-0.2098,-0.1178
47,0,-0.0099,0.0221,0.1051,-0.0760
48,0,0.0507,0.1002,-0.0656,0.0083
49,0,-0.0271,0.0238,0.0379,-0.0412
50,0,-0.0020,0.1158,0.1006,0.1364
51,0,0.0407,0.0952,0.0500,0.1168
52,0,0.0379,0.0639,0.0478,0.0333
53,0,-0.0134,-0.0289,-0.0149,0.0413
54,0,-0.0151,0.1963,0.2604,0.2690
55,0,0.0907,-0.0381,0.0292,-0.0140
56,0,-0.0864,-0.1343,0.0176,-0.0547
57,0,0.1430,0.1940,0.0942,0.1596
58,0,-0.0334,-0.0184,-0.0235,0.0561
59,0,0.0853,0.0123,0.2686,-0.0590
60,0,0.0026,-0.0895,-0.0793,-0.1614
61,0,0.0876,-0.1774,0.0703,0.0063
62,0,0.2873,0.1139,0.0606,-0.0009
63,0,-0.0128,-0.0403,-0.0476,0.0381
64,0,-0.1947,0.0262,0.0713,-0.1036
65,0,-0.1150,0.1687,-0.2378,0.2014
66,0,0.1393,-0.0579,-0.0842,-0.1566
67,0,-0.0035,0.2143,0.0980,0.1515
68,0,-0.0970,0.0800,-0.0645,0.1144
69,0,0.0192,-0.0278,-0.0274,0.1097
70,0,0.0833,0.1030,-0.0045,-0.1317
71,0,-0.0035,0.2271,-0.0575,-0.0309
72,0,-0.0180,0.1065,-0.0330,0.0481
73,0,-0.0971,-0.2143,-0.1643,0.0342
74,0,0.1434,-0.0132,0.0746,0.1435
75,0,-0.0404,-0.1032,-0.3059,0.0710
76,0,-0.1138,-0.1325,0.0175,-0.0605
77,0,0.0135,-0.0167,-0.1216,-0.0583
78,0,-0.0332,0.0256,-0.1819,-0.0625
79,0,0.0877,0.1233,0.0471,-0.0202
80,0,-0.1110,-0.0133,0.0020,0.1403
81,0,0.1195,0.0328,0.0272,0.0187
82,0,0.0043,0.1207,-0.0705,0.0732
83,0,0.0671,-0.0876,0.0226,-0.0913
84,0,-0.2502,-0.0945,-0.1728,0.0293
85,0,0.1306,-0.0892,0.1314,-0.0397
86,0,-0.1185,-0.0008,-0.1112,0.0613
87,0,0.0629,0.0312,-0.0096,-0.0309
88,0,0.0039,0.2481,-0.0783,-0.0270
89,0,0.2952,-0.0576,0.2139,-0.0655
90,0,-0.0997,-0.0066,-0.0372,0.0299
