dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9493,-0.0195,0.4399,0.0100
1,1,0.0819,0.9514,0.0026,0.4246
2,1,0.8801,0.1412,0.4266,0.0490
3,1,-0.0162,0.7389,-0.0574,0.4259
4,0,-0.0261,-0.2265,-0.0150,-0.1116
5,0,0.1638,0.1213,0.0835,0.0316
6,0,0.3002,0.0213,0.1387,0.0211
7,0,0.2295,0.1993,0.0866,0.1070
8,0,0.3531,0.0837,0.1164,0.0499
9,0,-0.0661,0.2106,-0.0224,0.1197
10,0,-0.3118,0.0398,-0.1688,0.0205
11,0,0.0678,0.0900,0.0108,0.0130
12,0,0.2679,0.4600,0.0917,0.1817
13,0,-0.0891,-0.2163,-0.0174,-0.0583
14,0,-0.2310,-0.1141,-0.1195,-0.0433
15,0,-0.2656,-0.1642,-0.1716,-0.0726
16,0,0.2788,-0.2009,0.0839,-0.1028
17,0,-0.1517,0.0875,-0.0403,0.0655
18,0,-0.2007,0.2016,-0.1340,0.0778
19,0,0.2584,0.1172,0.1454,0.0602
20,0,0.1207,-0.0184,0.0550,0.0126
21,0,0.0187,-0.1605,0.0218,-0.0679
22,0,-0.1538,-0.1588,-0.0925,-0.0832
23,0,0.1160,0.0248,0.0258,-0.0262
24,0,0.1799,-0.2050,0.1033,-0.0540
25,0,-0.2315,-0.0756,-0.1229,-0.0421
26,0,-0.0124,-0.2300,0.0037,-0.0814
27,0,-0.2143,-0.0385,-0.1011,-0.0524
28,0,-0.2919,0.0596,-0.1220,0.0314
29,0,0.2825,-0.1702,0.1247,-0.1173
30,0,-0.0266,-0.0012,-0.0245,-0.0388
31,0,-0.0425,-0.1093,-0.0118,-0.0415
32,0,0.2319,-0.3947,0.1384,-0.1660
33,0,0.0750,0.2400,0.0030,0.0887
34,0,-0.1023,0.5547,-0.0694,0.2718
35,0,-0.0448,-0.0517,-0.0132,-0.0674
36,0,-0.0555,0.1634,-0.0557,0.0817
37,0,-0.2886,0.4861,-0.1675,0.2258
38,0,0.1589,-0.3497,0.0806,-0.1349
39,0,-0.4485,0.1639,-0.2683,0.0657
40,0,0.2996,-0.0129,0.1337,-0.0504
41,0,-0.2283,0.1058,-0.1027,0.0463
42,0,-0.0155,-0.0299,-0.0039,-0.0128
43,0,0.0909,0.2469,0.0151,0.1315
44,0,-0.0320,0.1195,-0.0424,0.0543
45,0,-0.2173,-0.0066,-0.1292,-0.0066
46,0,-0.1292,0.2555,-0.0490,0.1470
47,0,-0.0250,0.0603,-0.0296,0.0077
48,0,0.1256,0.2170,0.0482,0.1007
49,0,0.2829,-0.1073,0.1309,-0.0064
50,0,-0.1944,0.1213,-0.0644,0.0538
51,0,0.1603,0.1084,0.0904,0.0290
52,0,-0.4189,-0.0224,-0.2145,0.0148
53,0,0.2476,0.1982,0.1243,0.0966
54,0,0.0832,0.4333,0.0380,0.2004
55,0,0.1866,-0.3704,0.1131,-0.1756
56,0,0.2555,-0.2308,0.1405,-0.1325
57,0,-0.3577,0.0606,-0.1620,0.0159
58,0,0.1151,0.0587,0.0610,0.0125
59,0,0.1001,-0.2526,0.0947,-0.1404
60,0,0.2482,-0.1196,0.1253,-0.0480
61,0,0.2243,-0.2190,0.1323,-0.0822
62,0,0.0469,0.1875,0.0550,0.1375
63,0,0.0787,-0.1593,0.1045,-0.0567
64,0,-0.1686,-0.2506,-0.0887,-0.1397
65,0,-0.1513,0.1703,-0.0964,0.1003
66,0,-0.0055,-0.2831,0.0152,-0.1709
67,0,0.2405,0.0145,0.1445,0.0040
68,0,0.1903,0.0246,0.0891,0.0061
69,0,0.0041,-0.0371,-0.0144,-0.0172
70,0,-0.2993,0.1301,-0.1234,0.0399
71,0,0.1112,-0.2532,0.1053,-0.0780
72,0,-0.0688,-0.1489,-0.0088,-0.0679
73,0,-0.1694,0.3810,-0.1133,0.1659
74,0,0.1117,0.4558,0.0282,0.2173
75,0,0.1834,-0.0484,0.0554,-0.0291
76,0,-0.1672,0.1191,-0.0822,0.0315
77,0,0.1879,0.1490,0.0860,0.0852
78,0,-0.0300,-0.1020,0.0159,-0.0710
79,0,0.1098,-0.2170,0.0350,-0.1050
80,0,-0.1051,0.2387,-0.0606,0.0893
81,0,-0.3996,-0.1905,-0.1869,-0.1057
82,0,-0.1439,-0.0312,-0.0655,0.0133
83,0,-0.0095,-0.1066,-0.0132,-0.1018
84,0,-0.2170,-0.1033,-0.0635,-0.0813
85,0,0.0093,-0.2712,-0.0089,-0.1004
86,0,-0.1500,-0.3839,-0.0630,-0.1705
87,0,0.1162,-0.2289,0.0684,-0.0847
88,0,-0.1985,0.1135,-0.1428,0.0286
89,0,-0.4518,-0.0039,-0.1885,0.0177
90,0,0.0799,-0.2314,0.0817,-0.1430
91,0,-0.1812,0.1728,-0.0692,0.0580
92,0,-0.1472,0.1598,-0.0512,0.1039
93,0,0.1682,0.3571,0.0536,0.1642
94,0,0.2599,-0.1000,0.1672,-0.0451
95,0,-0.1557,0.3591,-0.1248,0.1675
96,0,-0.0368,-0.2140,0.0072,-0.0692
97,0,0.0872,0.0752,-0.0295,0.0540
98,0,0.0633,0.5243,0.0083,0.2098
99,0,-0.3733,0.1569,-0.1999,0.0447
100,0,0.0416,-0.2638,0.0629,-0.1514
101,0,-0.0465,-0.2160,0.0052,-0.0818
102,0,-0.1592,-0.3405,-0.1147,-0.1578
103,0,-0.0703,-0.0755,-0.0969,-0.0151
104,0,0.0454,0.1531,0.0390,0.0482
105,0,-0.1047,0.2079,-0.0867,0.0879
106,0,0.0554,-0.3417,0.0579,-0.1813
107,0,0.1612,0.0217,0.0550,0.0085
108,0,0.1976,-0.0102,0.1343,-0.0579
109,0,-0.3541,-0.0806,-0.1442,-0.0618
110,0,-0.0642,0.1162,-0.0730,0.0352
111,0,0.0593,0.1762,0.0358,0.0817
112,0,0.2502,0.1182,0.1167,0.0559
113,0,0.1047,0.4496,0.0199,0.2128
114,0,0.1087,-0.4193,0.1027,-0.1887
115,0,-0.1128,0.1972,-0.0894,0.0628
116,0,0.0808,-0.1800,0.0489,-0.0554
117,0,0.3908,-0.1598,0.1918,-0.0627
118,0,0.2478,0.3674,0.1128,0.1717
119,0,0.3820,0.2522,0.1713,0.0885
120,0,-0.0631,-0.0589,-0.0395,0.0052
121,0,0.0826,-0.2915,0.0031,-0.1410
122,0,0.2454,0.1806,0.1340,0.0751
123,0,0.0389,0.3047,0.0558,0.1154
124,0,0.4508,0.1521,0.2300,0.0952
125,0,-0.4077,-0.0077,-0.1565,-0.0128
126,0,-0.0590,-0.3668,-0.0515,-0.1934
127,0,0.0429,-0.1486,-0.0002,-0.0546
