dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9941,0.0316,0.2341,0.0097
1,1,0.0241,0.9931,-0.0388,0.2254
2,1,0.2631,-0.0444,0.9949,0.0016
3,1,0.0189,0.2561,0.0338,0.9921
4,0,-0.0619,-0.0632,-0.0067,-0.0439
5,0,-0.1411,0.0765,0.0063,-0.0097
6,0,0.0098,0.2116,0.0215,0.2466
7,0,-0.3833,-0.1186,-0.2222,0.0779
8,0,0.1818,-0.0718,-0.0479,-0.0858
9,0,-0.1195,0.2299,-0.1640,0.0744
10,0,-0.0614,0.0653,0.0367,0.0922
11,0,-0.3195,-0.2153,-0.1653,0.0467
12,0,0.1153,-0.1524,0.0227,0.0259
13,0,-0.0693,-0.0350,0.0559,-0.0751
14,0,-0.3651,-0.3562,-0.2141,-0.0577
15,0,0.1296,-0.1875,0.0948,0.0077
16,0,-0.1080,-0.0698,0.0212,-0.1716
17,0,-0.1508,-0.2306,-0.1532,-0.2184
18,0,-0.3057,0.1575,-0.2870,0.1647
19,0,0.0822,0.0924,-0.0471,0.2009
20,0,-0.1218,-0.5614,-0.0828,-0.1042
21,0,-0.0821,-0.0222,0.0042,0.0040
22,0,-0.1363,-0.1286,-0.2060,0.0024
23,0,0.1103,-0.1133,0.0153,0.0881
24,0,-0.3269,-0.2574,-0.1971,0.0275
25,0,0.0672,-0.1574,0.0861,-0.0792
26,0,0.1123,0.0843,0.0947,0.0447
27,0,0.0672,0.1443,0.0873,0.1537
28,0,0.1585,0.1482,0.0051,-0.1653
29,0,-0.0380,0.0470,0.0376,0.1124
30,0,0.0885,0.1896,0.0666,0.0234
31,0,0.0836,0.2305,-0.0272,0.2240
32,0,-0.1683,0.0784,-0.0219,-0.1257
33,0,0.0144,0.1065,0.1065,-0.0803
34,0,-0.0429,0.1915,-0.1237,0.0957
35,0,-0.2161,0.0939,-0.1564,-0.0903
36,0,-0.1383,-0.1182,-0.1040,-0.0249
37,0,-0.0606,-0.1069,-0.0207,-0.1729
38,0,0.0192,0.4006,0.0866,0.3024
39,0,0.0295,-0.2242,-0.1026,0.0181
40,0,-0.1992,0.0470,-0.1089,-0.0070
41,0,-0.0429,-0.0518,-0.1592,-0.0228
42,0,0.3026,0.0318,0.1646,0.0587
43,0,0.1189,-0.0419,0.0912,-0.1196
44,0,-0.1648,-0.2894,-0.0903,-0.2201
45,0,0.0291,0.0307,0.0021,-0.0966
46,0,-0.0742,-0.0166,-0.0633,0.0404
47,0,0.1614,0.0971,-0.1283,0.1136
48,0,0.0772,0.1494,0.0969,-0.0152
49,0,0.1146,-0.2471,-0.0663,0.0375
50,0,0.2078,-0.1262,0.1288,-0.2157
51,0,0.1160,-0.0197,0.0281,0.0419
52,0,-0.1065,-0.1738,-0.1019,-0.0068
53,0,-0.1632,0.2182,-0.0387,0.1079
54,0,0.0213,0.0353,-0.0755,0.1403
55,0,0.0477,-0.1117,-0.0219,0.0267
56,0,-0.0154,0.0221,0.1577,-0.0550
57,0,-0.0393,0.2359,-0.0061,0.0380
58,0,-0.0247,0.0820,-0.0477,-0.0361
59,0,0.1397,0.1387,0.0069,-0.0646
60,0,0.1235,-0.1549,0.0926,-0.0464
61,0,0.2549,0.0944,0.2035,0.0369
62,0,0.2015,-0.0512,0.0814,0.1364
63,0,0.1283,0.3887,0.1224,0.2769
64,0,-0.0308,0.1269,0.0843,-0.0076
65,0,-0.1530,-0.0029,-0.0153,0.1363
