dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9823,-0.0295,0.4264,-0.0602
1,1,-0.0241,0.9822,0.0151,0.3650
2,1,0.4076,0.0062,0.9883,0.0096
3,1,-0.0625,0.3576,0.0226,0.9872
4,0,0.0306,0.2265,0.0138,0.1675
5,0,-0.0500,0.0012,0.0777,0.0435
6,0,-0.0657,-0.0947,0.0363,0.0414
7,0,-0.1937,0.0043,-0.0327,-0.0147
8,0,0.0945,-0.1274,0.0443,-0.1361
9,0,-0.1200,-0.0513,-0.0411,0.0311
10,0,0.0116,-0.2747,-0.0325,-0.1068
11,0,-0.1174,-0.0335,-0.0768,-0.1838
12,0,-0.0229,-0.0402,0.0323,0.1026
13,0,-0.1480,0.0428,-0.1370,0.0515
14,0,-0.0254,-0.0589,-0.0621,0.1394
15,0,-0.1373,-0.0483,-0.1166,0.0628
16,0,-0.1297,-0.1653,0.0866,-0.1249
17,0,-0.1240,0.3140,-0.0555,0.0876
18,0,-0.2000,-0.2429,-0.1242,0.0025
19,0,0.1436,0.1387,0.0847,0.0513
20,0,0.0741,-0.0293,0.1908,-0.1441
21,0,0.1258,-0.3278,0.1154,-0.1959
22,0,0.0466,0.0908,-0.0680,-0.0694
23,0,0.1847,-0.0526,0.0864,-0.0933
24,0,0.0345,0.0758,0.1271,0.1612
25,0,-0.2114,0.2509,-0.0151,0.0765
26,0,-0.1195,0.3367,-0.0576,0.1956
27,0,-0.2207,0.1680,-0.0423,0.0558
28,0,-0.0348,0.0576,-0.1234,0.0237
29,0,-0.2801,-0.1730,-0.0744,-0.1564
30,0,-0.2605,0.2562,-0.2465,0.2463
31,0,-0.1073,0.2986,0.0013,0.1538
32,0,0.0888,-0.0917,0.1642,-0.0409
33,0,0.2460,0.2314,0.1523,0.1700
34,0,-0.0699,0.0158,-0.1447,0.1644
35,0,-0.0682,-0.1475,-0.0824,-0.0894
36,0,-0.0313,0.1268,-0.0356,0.0665
37,0,-0.0434,0.0002,0.0098,-0.0048
38,0,-0.0955,-0.1801,-0.0695,-0.0954
39,0,0.1850,0.2202,0.1184,0.0983
40,0,0.2716,0.0506,0.3016,0.0038
41,0,-0.0002,0.1569,0.1374,-0.0185
42,0,0.1664,0.0883,0.0290,0.0485
43,0,0.2447,-0.0866,0.1348,-0.2089
44,0,0.2086,0.0658,0.0713,0.0221
45,0,-0.1183,-0.3272,-0.1023,-0.2155
46,0,0.0312,-0.0624,0.0795,-0.1304
47,0,-0.1079,0.4028,-0.0561,0.1895
48,0,-0.1051,-0.2068,-0.0884,0.0382
49,0,-0.0893,0.2652,-0.0648,0.2370
50,0,0.2055,0.0157,0.0901,0.0107
51,0,-0.1854,-0.0443,-0.1065,-0.0194
52,0,-0.0616,0.2102,0.0167,0.0656
53,0,-0.0698,-0.2569,-0.0115,-0.1782
54,0,0.2448,-0.0868,0.2250,0.1787
55,0,-0.0501,0.2025,-0.0832,0.0508
56,0,0.0702,-0.0658,0.0145,-0.1229
57,0,-0.1639,0.1946,-0.0632,0.0983
58,0,0.0648,-0.3063,0.0654,-0.2702
59,0,-0.0376,0.1765,-0.1330,-0.0266
60,0,-0.0391,-0.0599,0.1034,-0.0437
61,0,0.0161,0.1249,-0.0475,0.1875
62,0,-0.1076,-0.0527,-0.0839,-0.1959
63,0,-0.1048,-0.0435,-0.0260,0.0070
