dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.9979,-0.0256,0.3327,-0.0628
1,1,-0.0271,0.9978,0.0117,0.2859
2,1,0.3186,0.0110,0.9968,0.0101
3,1,-0.0587,0.2728,0.0135,0.9955
4,0,0.0634,0.0126,0.0318,-0.0469
5,0,-0.0366,-0.1760,0.1059,-0.0921
6,0,0.1393,0.1974,0.0968,0.0883
7,0,-0.1277,-0.1150,-0.1000,-0.1767
8,0,-0.1801,-0.0125,-0.0834,0.1162
9,0,-0.1607,-0.0976,-0.0964,-0.0277
10,0,0.0204,0.2298,0.0989,-0.1246
11,0,0.0004,-0.0418,-0.1825,0.0806
12,0,0.1444,-0.0701,-0.0430,0.1338
13,0,-0.1439,0.4807,0.0506,0.1903
14,0,0.0101,-0.0379,-0.1965,-0.0390
15,0,-0.0720,-0.1193,-0.2237,0.0680
16,0,0.3082,0.2090,0.1175,-0.0916
17,0,0.1181,0.1182,0.0853,0.0889
18,0,-0.0979,-0.0461,0.0188,-0.1689
19,0,-0.1713,0.0749,-0.2251,0.0857
20,0,0.0973,-0.0089,0.0880,-0.0362
21,0,0.0018,0.2463,0.0684,-0.0175
22,0,-0.1667,0.0527,-0.0704,0.1895
23,0,0.0532,0.0809,0.0065,-0.0756
24,0,0.1382,0.0476,0.3539,0.1196
25,0,0.2202,0.0877,0.0786,0.2479
26,0,-0.1335,0.0359,-0.0339,-0.0256
27,0,-0.3590,0.1330,-0.2307,0.0215
28,0,-0.0858,0.1862,-0.0767,-0.0234
29,0,0.0484,0.0845,-0.0229,0.2240
30,0,0.1684,-0.1242,0.1121,-0.0251
31,0,-0.1016,-0.1946,0.0758,-0.0852
32,0,-0.1443,-0.2947,-0.0909,0.0903
33,0,-0.1961,0.2059,-0.2357,0.0770
34,0,-0.0173,-0.0870,0.0873,0.0570
35,0,-0.0626,-0.1592,0.0364,-0.0423
36,0,0.0488,0.0218,-0.0517,-0.0243
37,0,0.0908,0.2082,-0.0843,-0.1375
38,0,0.0564,-0.0425,-0.0351,0.1018
39,0,0.0598,0.2964,0.0042,0.0057
40,0,0.0762,-0.0165,0.2043,-0.1913
41,0,0.0711,-0.0842,0.0679,0.0342
42,0,0.1156,0.0426,-0.0126,0.1410
43,0,-0.2595,-0.2219,-0.1024,-0.0472
44,0,0.1249,-0.0030,0.2284,0.0142
45,0,-0.0954,0.1578,-0.1187,-0.0474
46,0,0.0759,-0.0676,-0.0646,-0.1260
47,0,-0.0202,-0.2493,-0.1149,-0.0419
48,0,-0.1822,0.0014,-0.1513,-0.1277
49,0,0.0464,-0.2103,0.1200,-0.0311
50,0,0.1261,0.2873,0.2291,0.1332
51,0,-0.1071,0.0537,-0.0759,-0.0300
52,0,-0.2305,0.1499,-0.0020,0.0714
53,0,-0.0252,0.0747,0.0331,0.0677
54,0,-0.1782,0.0224,-0.0471,-0.2441
55,0,0.1249,-0.0051,0.0481,-0.1582
56,0,0.1101,-0.1352,0.0075,-0.0239
57,0,-0.0804,-0.0376,-0.0900,-0.1643
58,0,0.0587,-0.2496,-0.1016,-0.2324
59,0,0.0486,-0.1542,0.1022,-0.1701
60,0,0.0708,0.0996,0.0625,-0.1854
61,0,-0.0841,0.0868,0.1487,-0.0010
62,0,-0.0443,-0.1403,0.0540,0.0734
63,0,0.0023,-0.0147,0.0109,0.1770
64,0,-0.2746,-0.0293,-0.1349,-0.1373
65,0,0.0552,-0.0167,0.1416,-0.1191
66,0,-0.0558,-0.0015,-0.0667,-0.0467
67,0,-0.1604,0.0540,0.0288,0.1957
68,0,-0.0660,-0.1820,-0.1022,-0.0452
69,0,0.1611,0.2259,0.1120,0.0987
70,0,0.0902,0.1099,0.0386,0.1070
71,0,-0.0256,-0.1837,0.1754,0.0124
72,0,-0.1559,0.1137,-0.1613,0.0352
73,0,0.0932,-0.0305,0.0188,-0.1685
74,0,-0.1507,-0.0324,-0.0150,-0.1344
75,0,0.2193,-0.2045,0.1358,-0.1685
76,0,-0.0709,0.1837,-0.1518,0.2468
77,0,0.0521,-0.2298,0.1507,-0.0648
78,0,0.0258,-0.0485,-0.0138,0.0672
79,0,0.2443,0.2098,0.0185,0.0055
80,0,0.0434,-0.0838,0.0966,0.1213
81,0,0.0533,-0.0184,0.0038,-0.1589
82,0,-0.1961,-0.1053,-0.0282,0.0343
83,0,-0.0952,0.3093,0.0583,0.0977
84,0,0.2659,-0.1173,0.1054,0.0379
85,0,0.2793,-0.1498,0.4075,-0.0755
86,0,-0.2262,0.1585,0.0076,0.0528
87,0,0.1362,0.0378,0.2067,-0.0508
88,0,0.2162,-0.2036,0.0105,-0.0843
89,0,-0.0075,-0.0658,0.0195,0.1000
90,0,0.0286,-0.1243,0.0398,-0.2437
91,0,0.2277,0.0244,0.0627,-0.1225
92,0,-0.0799,0.1030,0.0172,0.2268
93,0,0.0291,0.2320,0.1929,0.1454
94,0,-0.0754,0.0565,0.0086,-0.0541
95,0,0.1137,-0.0896,0.0706,-0.0650
96,0,0.1563,0.0512,-0.0645,-0.0732
97,0,0.0291,0.3129,-0.1085,0.1416
98,0,-0.1889,0.0890,0.0657,0.0901
99,0,-0.2588,0.1125,0.0414,-0.1238
100,0,0.1371,0.2093,-0.0541,0.1562
101,0,0.1128,-0.1013,-0.1156,-0.0915
102,0,-0.1184,0.1353,0.0962,0.0106
103,0,-0.3724,-0.0516,-0.0103,-0.1006
104,0,-0.2267,-0.0168,-0.1867,-0.0416
105,0,0.0975,-0.0459,0.1267,-0.1112
106,0,0.0986,-0.0154,-0.0214,0.0640
107,0,0.3318,-0.0485,0.1887,-0.1477
108,0,-0.2036,-0.0546,0.2369,-0.1294
109,0,-0.2704,0.1768,-0.2392,0.2313
110,0,0.1529,-0.0083,-0.1112,-0.1082
111,0,0.0893,0.0826,-0.0138,0.0403
112,0,-0.0212,-0.0398,-0.1841,0.0047
113,0,-0.3219,-0.0394,-0.1794,-0.0856
114,0,-0.0970,0.0720,0.0632,-0.0906
115,0,0.0924,-0.0741,-0.0372,-0.1163
116,0,0.2036,-0.0222,0.2881,0.1027
117,0,-0.1171,0.0996,0.0713,0.0385
118,0,0.1644,0.0877,0.1041,0.1385
119,0,-0.1699,0.0167,-0.0229,0.1389
120,0,0.1681,-0.0048,0.2364,-0.1349
121,0,-0.1495,0.1212,-0.0805,0.1221
122,0,-0.0290,0.0167,-0.0573,0.0194
123,0,-0.0759,-0.1082,0.0949,-0.1569
124,0,-0.2299,-0.0007,-0.0738,0.3715
125,0,-0.0128,0.0873,0.0472,-0.2028
126,0,-0.2060,-0.2073,-0.1279,-0.1329
127,0,-0.0373,0.1539,-0.3989,0.2689
