step,epoch,total,recon,dyn,pred_recon,anchor,anchor_pred,gain,a_v_mean
50,1,1.5725955963134766,0.5138914585113525,0.021827757358551025,0.5041757225990295,0.26632678508758545,0.2663739323616028,0.0,0.3741133213043213
100,1,1.4324562549591064,0.47348183393478394,0.018884016200900078,0.43825942277908325,0.25117719173431396,0.25065377354621887,0.0,0.8024682998657227
150,1,1.418583869934082,0.47747480869293213,0.022293005138635635,0.4456091523170471,0.24019189178943634,0.23301489651203156,0.0,1.4709540605545044
200,1,1.248520016670227,0.49263548851013184,0.04133317619562149,0.4618019163608551,0.12608757615089417,0.12666186690330505,0.0,1.2244206666946411
250,1,0.9020156860351562,0.4051707088947296,0.021183496341109276,0.39081084728240967,0.04224168509244919,0.04260898381471634,0.0,0.7903054356575012
300,1,0.7756912708282471,0.37139126658439636,0.009657341986894608,0.3669250011444092,0.013646350242197514,0.014071296900510788,0.0,1.146437168121338
350,2,0.7184212803840637,0.34944283962249756,0.005298407282680273,0.3494126796722412,0.007091722451150417,0.007175674196332693,0.0,0.9964355230331421
400,2,0.7032839059829712,0.33911067247390747,0.012234637513756752,0.337713360786438,0.007000966463238001,0.007224260829389095,0.0,1.0217523574829102
450,2,0.6708431839942932,0.32689833641052246,0.007209082134068012,0.3249471187591553,0.005840475670993328,0.005948208272457123,0.0,1.0199189186096191
500,2,0.6650319695472717,0.32254672050476074,0.010205524042248726,0.32335320115089417,0.004390353802591562,0.004536163527518511,0.0,0.9629691243171692
550,2,0.6334028244018555,0.31264808773994446,0.005266117863357067,0.307762086391449,0.003862789599224925,0.003863760270178318,0.0,0.911342978477478
600,2,0.6175687313079834,0.3050558269023895,0.003041115589439869,0.30345097184181213,0.0030285599641501904,0.0029921862296760082,0.0,0.8789131045341492
650,2,0.6366989612579346,0.3122098445892334,0.00847222562879324,0.310275137424469,0.0028628443833440542,0.0028788710478693247,0.0,0.8738775253295898
700,3,0.6237594485282898,0.30810078978538513,0.0038211082573980093,0.306236207485199,0.002765064127743244,0.002836288884282112,0.0,0.8976109623908997
750,3,0.6247819662094116,0.31022343039512634,0.003543916391208768,0.3062661290168762,0.002368193119764328,0.002380249323323369,0.0,0.8810123205184937
800,3,0.6171255707740784,0.305284321308136,0.005761885084211826,0.302034854888916,0.0019844193011522293,0.00206006970256567,0.0,0.8705240488052368
850,3,0.6027704477310181,0.2987288534641266,0.002842182060703635,0.29693201184272766,0.0021084188483655453,0.002158980816602707,0.0,0.8423594832420349
900,3,0.5962740778923035,0.2962869703769684,0.0024640397168695927,0.2943028509616852,0.00160917267203331,0.0016111249569803476,0.0,0.8475600481033325
950,3,0.6015559434890747,0.29736489057540894,0.004646952264010906,0.2959757447242737,0.0017856888007372618,0.0017826480325311422,0.0,0.8505094647407532
1000,3,0.5972318649291992,0.29935222864151,0.00223956978879869,0.29230737686157227,0.0016461290651932359,0.0016866335645318031,0.0,0.8961295485496521
1050,4,0.597864031791687,0.29822254180908203,0.001892106025479734,0.2944849133491516,0.0016199378296732903,0.0016444651409983635,0.0,0.8604919910430908
1100,4,0.5942782163619995,0.29551780223846436,0.002047766698524356,0.29371020197868347,0.0015033707022666931,0.001499074511229992,0.0,0.8546116352081299
1150,4,0.5936796069145203,0.29701125621795654,0.0026115744840353727,0.2908286154270172,0.0015979006420820951,0.0016302415169775486,0.0,0.8638620972633362
1200,4,0.5873009562492371,0.29293668270111084,0.0020821462385356426,0.28866907954216003,0.0018111281096935272,0.0018019345588982105,0.0,0.8644088506698608
1250,4,0.5911078453063965,0.2932842969894409,0.0018865499878302217,0.29286298155784607,0.0015430714702233672,0.0015310226008296013,0.0,0.856207549571991
1300,4,0.5831102132797241,0.29203376173973083,0.0021239446941763163,0.2856241762638092,0.0016669327160343528,0.001661435468122363,0.0,0.8703620433807373
1350,4,0.5870922207832336,0.29182541370391846,0.00304849143140018,0.288381427526474,0.0019203850533813238,0.001916511682793498,0.0,0.8570021390914917
