dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,-0.1373,-0.1846,-0.1865,-0.0508
1,1,0.3378,-0.3453,0.0415,-0.0834
2,1,-0.3872,-0.3147,-0.1173,-0.1052
3,1,0.5556,-0.2787,0.1556,-0.0619
4,0,0.0136,0.1516,-0.0723,0.0579
5,0,-0.2360,0.1911,-0.0243,0.0610
6,0,-0.0899,0.0171,-0.0495,0.0348
7,0,0.0292,0.2238,0.0961,0.2142
8,0,-0.0541,-0.1990,0.0845,0.0382
9,0,-0.1152,-0.0211,-0.0185,0.3167
10,0,-0.0056,-0.0833,-0.0382,-0.0900
11,0,-0.2940,0.1567,-0.1722,0.0907
12,0,-0.2404,0.0396,-0.0326,-0.1711
13,0,-0.0693,0.1201,-0.1350,-0.0363
14,0,0.1339,-0.1114,0.1187,0.1298
15,0,-0.1463,0.3132,-0.1068,0.0714
16,0,0.0723,-0.0384,-0.0483,-0.0821
17,0,0.2459,-0.2847,0.2201,0.0383
18,0,0.0233,0.0172,-0.0417,0.1388
19,0,0.0996,0.1530,0.1082,0.0673
20,0,-0.1284,-0.1193,-0.0064,-0.1097
21,0,-0.1070,-0.1123,0.0453,0.1323
22,0,0.0993,0.0384,0.0044,0.2599
23,0,0.0076,0.1130,-0.0824,0.1035
24,0,-0.1413,-0.1057,0.0160,0.1613
25,0,-0.1712,0.1579,-0.1996,0.1107
26,0,0.0361,-0.0081,-0.0685,-0.0608
27,0,0.1489,0.0813,0.1326,0.0181
28,0,-0.1128,-0.1513,-0.0990,0.0802
29,0,0.1185,-0.0992,-0.0643,-0.1221
30,0,-0.1085,-0.2398,0.0858,-0.0216
31,0,0.0541,-0.1001,0.1851,-0.1299
32,0,0.0349,-0.2161,-0.0914,0.1665
33,0,-0.1141,0.2959,-0.1181,0.1176
34,0,-0.1558,0.4313,-0.0761,0.1045
35,0,-0.0337,-0.3285,0.0964,-0.1214
36,0,0.0367,-0.1695,0.0549,-0.1406
37,0,0.3941,0.1908,0.0664,-0.0041
38,0,0.3997,-0.1447,0.1278,-0.0589
39,0,0.0524,-0.0748,0.0215,0.0607
40,0,0.1712,0.1331,0.0822,-0.1600
41,0,-0.0968,0.0262,-0.0421,-0.1680
42,0,-0.2661,0.1198,0.0683,-0.1319
43,0,-0.1736,0.1692,-0.0720,-0.1883
44,0,-0.2090,0.0635,-0.0612,-0.0446
45,0,-0.1595,-0.0166,-0.1041,-0.0729
46,0,-0.1565,0.0224,-0.1639,0.1869
47,0,0.0778,0.0223,0.0255,0.0379
48,0,0.0192,0.1709,-0.0279,0.0055
49,0,0.0080,0.0189,0.0301,0.0266
50,0,0.0510,-0.1000,-0.1063,0.1516
51,0,0.0816,0.0370,-0.0171,0.0418
52,0,-0.1774,0.0319,0.0031,0.0864
53,0,0.0018,0.0817,0.0921,-0.1231
54,0,0.1856,-0.0442,-0.0014,-0.1474
55,0,0.0721,-0.0835,-0.1335,0.0365
56,0,0.1080,0.3006,-0.0233,-0.0136
57,0,-0.0921,-0.0023,0.0216,0.0182
58,0,0.0956,0.1344,0.0138,-0.1119
59,0,-0.0452,0.0503,0.0002,0.1234
60,0,-0.0924,-0.0558,-0.0244,0.1751
61,0,-0.1642,0.0787,-0.0439,0.1152
62,0,-0.0680,-0.1187,0.0787,0.1622
63,0,-0.0150,0.1120,-0.0202,-0.1563
64,0,-0.0097,-0.0293,-0.0497,-0.2043
65,0,0.0850,-0.1317,0.0462,-0.0158
66,0,0.1167,0.0009,0.0728,-0.1532
67,0,0.1296,0.1285,-0.0609,0.1299
68,0,0.2994,0.2040,0.1941,0.1594
69,0,-0.1541,0.1402,-0.1681,0.1098
70,0,-0.2838,-0.0487,-0.0417,-0.0109
71,0,-0.1022,-0.0240,0.0150,0.0647
72,0,0.0975,0.2256,-0.0348,0.1166
73,0,0.0377,0.1215,-0.0237,-0.1078
74,0,-0.2079,-0.1880,-0.0696,0.0793
75,0,0.0048,0.0312,0.0154,0.0787
76,0,-0.0133,0.0508,-0.1140,0.0752
77,0,-0.0333,-0.0595,-0.2614,-0.1021
78,0,-0.0658,0.1190,-0.0321,-0.1983
79,0,-0.1043,-0.1491,0.0133,-0.0870
80,0,0.0396,0.1200,0.1913,-0.0064
81,0,-0.2243,-0.3682,-0.1670,0.0245
82,0,0.1246,0.1435,0.0648,0.1670
83,0,-0.2556,-0.0263,-0.0185,-0.0522
84,0,0.1025,0.0051,0.1406,-0.2252
85,0,-0.0073,-0.0774,0.0316,0.2928
86,0,-0.1226,-0.0318,-0.0973,-0.0341
87,0,-0.2077,-0.0122,-0.0702,-0.0719
88,0,0.2198,-0.0088,0.0845,0.2059
89,0,-0.1575,-0.0596,-0.0316,-0.0175
90,0,-0.0248,0.0084,-0.1049,-0.0461
91,0,-0.1905,0.0016,-0.2184,0.1362
92,0,-0.1008,-0.0126,-0.0615,0.1683
93,0,0.0238,0.0717,0.0049,0.0280
94,0,0.3297,-0.3516,-0.0002,-0.3008
95,0,-0.2298,-0.0935,0.0456,-0.0960
96,0,-0.0214,-0.2190,0.0029,-0.0951
97,0,0.2075,-0.1611,0.1738,-0.0762
