dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,0.4674,-0.0777,0.0703,0.0108
1,1,-0.0378,-0.8724,0.0123,-0.2198
2,1,-0.0838,-0.1505,0.0225,-0.0624
3,1,-0.0781,-0.3696,-0.0602,-0.1090
4,0,-0.1293,0.1457,-0.1065,0.0024
5,0,-0.0180,-0.0964,-0.0447,-0.0680
6,0,-0.2028,0.2969,-0.1443,0.1066
7,0,0.1919,-0.1343,0.0394,-0.0533
8,0,0.2406,-0.2167,0.0333,-0.1072
9,0,0.3681,-0.1176,0.1349,-0.0789
10,0,-0.1740,-0.3090,0.0513,-0.1201
11,0,0.1865,-0.0952,0.0713,-0.0595
12,0,-0.0820,0.3154,-0.0300,0.0855
13,0,-0.0649,-0.0137,0.0033,0.0678
14,0,-0.0426,0.0309,0.0340,0.0844
15,0,-0.0211,-0.0509,0.0340,-0.0819
16,0,0.0915,0.0842,0.0886,0.0889
17,0,0.3268,-0.0844,0.0489,0.0458
18,0,0.0727,-0.0601,0.1138,0.0255
19,0,-0.0724,0.1998,0.0054,0.0138
20,0,-0.0218,-0.3722,-0.0579,-0.0350
21,0,0.3368,0.0015,0.1709,-0.0252
22,0,0.0454,0.0831,-0.0085,0.1274
23,0,-0.1114,0.0497,-0.0976,0.0530
24,0,-0.2786,-0.0097,-0.0909,0.0387
25,0,-0.0151,-0.1761,0.0474,-0.0678
26,0,-0.2002,0.0797,-0.0972,0.0523
27,0,-0.2788,0.4035,-0.0311,0.0538
28,0,-0.2362,0.0121,-0.0386,-0.0477
29,0,0.1767,-0.0513,-0.0021,-0.0742
30,0,0.0015,-0.0323,0.0304,-0.0245
31,0,0.1577,-0.0140,0.1156,0.0790
32,0,0.0490,0.1748,0.0162,0.1445
33,0,0.1214,0.1418,0.0480,0.1225
34,0,-0.0248,-0.1467,-0.0429,-0.0580
35,0,-0.3317,-0.0167,-0.2246,-0.0231
36,0,0.1320,0.0363,0.0486,0.0338
37,0,-0.1353,-0.1117,-0.0621,0.0221
38,0,0.2282,-0.0586,0.0554,-0.0133
39,0,-0.1651,0.1334,-0.0442,0.0364
40,0,-0.0104,0.0397,0.0339,0.0358
41,0,0.0914,-0.1249,0.0284,-0.1434
42,0,0.0326,0.1745,-0.0386,0.0573
43,0,0.1868,0.0601,0.0825,0.0740
44,0,0.0753,0.1698,0.0257,0.1117
45,0,0.2067,0.0299,0.1280,0.0308
46,0,-0.0802,-0.0109,-0.0094,0.0302
47,0,-0.0319,0.0287,-0.0160,-0.0484
48,0,-0.0748,0.1325,0.0113,0.0975
49,0,-0.0204,0.1204,0.0113,0.0464
50,0,0.2760,-0.0527,0.0508,-0.0031
51,0,0.1341,-0.0517,0.0328,-0.0114
52,0,-0.1421,-0.0160,-0.0416,0.0306
53,0,0.0434,-0.0084,0.0312,0.0705
54,0,-0.0810,0.3295,-0.0066,-0.0166
55,0,0.2518,0.1173,0.0344,0.0189
56,0,-0.1735,0.0759,-0.0650,-0.0046
57,0,0.1514,-0.0388,0.1074,0.0229
58,0,0.1541,0.0477,-0.0255,0.0497
59,0,0.0987,0.0736,0.0130,0.0442
60,0,0.0424,0.0503,-0.0171,0.0405
61,0,-0.1951,-0.0177,-0.1830,0.0584
62,0,-0.2256,-0.2801,-0.0640,-0.0296
63,0,-0.0288,0.2271,-0.0308,0.0798
64,0,0.0885,0.1736,-0.0224,0.0513
65,0,-0.0681,0.0693,-0.0289,-0.0259
66,0,-0.0667,0.0901,0.0286,0.0313
67,0,-0.1795,-0.0823,-0.0619,-0.1639
68,0,-0.1379,0.0037,-0.1015,-0.0096
69,0,0.0533,0.0875,-0.0013,0.0445
70,0,-0.1178,-0.0971,0.0628,-0.0497
71,0,0.0553,0.2801,-0.0006,0.1416
72,0,0.2732,0.0978,0.1339,0.0555
73,0,0.0414,0.3132,0.0089,0.0843
74,0,0.0583,0.1036,-0.0775,0.0251
75,0,-0.0625,-0.1376,-0.0313,-0.0270
76,0,0.0420,0.0320,0.0085,0.0243
77,0,0.2951,-0.1774,0.0385,-0.1269
78,0,-0.0107,-0.1089,0.0233,-0.0457
79,0,0.1387,0.0590,0.0188,0.0098
80,0,-0.1601,-0.0677,-0.0636,-0.0654
81,0,-0.1931,0.0146,-0.0705,-0.0196
82,0,-0.0623,0.2333,-0.0627,0.0322
83,0,-0.0154,0.0189,0.0057,0.0776
84,0,-0.1986,0.0259,-0.0638,-0.0298
85,0,-0.0681,0.0365,-0.0681,0.0499
86,0,-0.3141,0.0949,-0.0610,0.0463
87,0,0.1852,-0.2350,0.0318,-0.0239
88,0,0.3102,-0.0265,0.0949,-0.0715
89,0,-0.0365,-0.0172,0.0746,0.0330
90,0,0.2200,0.1333,0.1298,0.0761
91,0,-0.2837,0.0508,-0.1040,0.0388
92,0,-0.2491,0.1569,-0.0801,0.1608
93,0,-0.0421,-0.1870,-0.0662,-0.0415
94,0,0.0467,0.0288,0.1148,-0.0134
95,0,0.1563,0.0500,0.0198,0.0784
96,0,-0.0416,0.2233,-0.0472,-0.0200
97,0,-0.0730,0.2263,-0.0918,0.0098
98,0,-0.1814,0.0958,-0.0592,0.0918
99,0,0.0091,0.0408,-0.0028,0.0842
100,0,0.1155,0.2584,0.0263,0.1075
101,0,0.1483,-0.2840,0.0689,-0.0898
102,0,-0.1109,-0.1611,-0.0863,-0.0100
103,0,-0.1564,-0.1726,-0.0196,0.0115
104,0,0.1719,-0.2107,0.1240,-0.0310
105,0,-0.1958,0.0007,-0.1041,-0.0902
106,0,-0.0596,-0.0786,-0.0335,-0.0342
107,0,0.0987,-0.2029,0.0483,-0.1016
108,0,0.1461,0.0521,0.0206,0.0485
109,0,0.1258,-0.0590,0.0338,-0.0526
110,0,0.0933,-0.1801,0.0340,-0.1388
111,0,-0.0743,-0.1880,-0.1055,-0.0052
112,0,-0.0127,0.0764,0.0970,0.0348
113,0,-0.1339,0.1915,-0.0384,0.0191
114,0,-0.1852,0.0234,-0.0562,-0.0845
115,0,0.1282,-0.2828,0.0599,-0.1424
116,0,0.0584,-0.0854,0.0674,-0.0099
117,0,0.0361,0.1054,0.0052,-0.0367
118,0,0.2213,-0.1722,0.1377,-0.0023
119,0,0.1904,0.1240,0.1073,0.0568
120,0,0.1329,0.2320,-0.0231,0.0862
121,0,-0.1059,0.0212,0.0255,-0.0348
122,0,0.0803,0.1027,-0.0971,0.0134
123,0,-0.1371,0.0097,-0.0724,-0.0472
