dim,in_block,corr_x,corr_y,corr_cos,corr_sin
0,1,-0.0618,-0.1399,-0.0462,-0.0905
1,1,-0.0127,-0.0004,-0.0309,0.0228
2,1,0.0986,0.0111,-0.0076,0.0330
3,1,-0.2528,0.0559,-0.0973,0.0006
4,0,0.0601,0.0222,0.1179,-0.0632
5,0,0.2394,-0.1590,-0.1563,-0.1599
6,0,-0.2132,-0.0321,-0.0112,0.0703
7,0,-0.0099,-0.0217,-0.2622,0.0453
8,0,-0.0466,0.0612,0.0319,-0.0113
9,0,-0.0658,-0.0626,-0.0483,-0.0583
10,0,0.2651,-0.0349,0.0521,-0.1092
11,0,0.0929,0.0686,0.0143,0.0491
12,0,0.0156,-0.0372,-0.0396,-0.0422
13,0,-0.1449,-0.0155,-0.1484,0.0365
14,0,-0.0520,0.2093,-0.0194,-0.0743
15,0,0.0578,0.0149,-0.1464,-0.0363
16,0,-0.0203,0.0604,-0.0489,-0.0761
17,0,-0.1027,0.0506,-0.0565,0.0527
18,0,0.1801,-0.0526,-0.1406,0.0151
19,0,-0.1305,0.0275,-0.1041,-0.0506
20,0,0.1385,-0.1362,0.0467,0.0361
21,0,0.0392,0.1956,-0.1753,0.0926
22,0,-0.1573,0.0796,-0.0362,-0.0994
23,0,0.0044,-0.0116,-0.0836,-0.0644
24,0,-0.1605,-0.1407,-0.1213,0.1588
25,0,0.0451,0.0194,0.0846,0.0362
26,0,0.1343,0.0957,0.1234,-0.1563
27,0,-0.0257,0.1422,0.0514,-0.0092
28,0,-0.0285,-0.1974,-0.0183,-0.1323
29,0,0.0413,-0.0952,0.0319,0.1027
30,0,0.1644,0.1152,-0.0130,-0.0114
31,0,-0.1450,0.0086,-0.2533,0.1215
32,0,0.1329,-0.1304,-0.0149,-0.1743
33,0,-0.0833,0.2544,-0.0983,0.0260
34,0,0.0042,-0.0784,0.0666,-0.0504
35,0,-0.0233,-0.0149,0.0453,-0.1388
36,0,-0.0805,-0.0229,0.3433,0.0336
37,0,0.0440,0.1406,-0.0293,0.1155
38,0,0.0383,-0.0479,-0.0753,-0.0105
39,0,0.2442,-0.0007,0.0450,-0.1340
40,0,-0.0572,-0.0745,0.1729,0.0351
41,0,-0.0599,0.0644,0.0148,-0.0253
42,0,-0.0623,0.1942,0.0636,0.0881
43,0,0.0813,0.0226,0.0324,0.0957
44,0,-0.2628,-0.0802,0.0062,0.1490
45,0,-0.1504,0.1782,-0.0724,0.0173
46,0,-0.1511,0.0777,-0.0085,-0.0334
47,0,-0.0315,0.2893,0.0997,-0.0229
48,0,0.0492,-0.1175,0.1659,0.0641
49,0,-0.2183,0.1533,-0.1018,0.1844
50,0,0.1144,0.0400,-0.1445,0.2176
51,0,0.1194,0.1494,-0.0855,-0.1161
52,0,0.1248,-0.0236,-0.0312,0.1216
53,0,0.1480,0.0068,0.0230,-0.0598
54,0,-0.0078,0.2184,-0.1336,-0.1306
55,0,0.0926,-0.0238,0.2096,-0.1154
56,0,-0.0308,0.0478,-0.1163,0.0624
57,0,0.1189,-0.0422,0.1079,0.0177
58,0,0.0825,-0.0443,0.0483,0.0844
59,0,-0.0277,0.1397,-0.0689,0.1110
60,0,0.0477,-0.0166,-0.0841,-0.0124
61,0,-0.0528,0.0807,0.0714,0.0013
62,0,-0.2168,-0.0013,0.0457,0.0675
63,0,-0.1765,0.0187,-0.0371,0.2381
64,0,0.1669,0.0125,-0.0900,0.0812
65,0,-0.0312,0.0834,0.2075,0.1278
66,0,-0.0218,-0.0785,-0.2018,0.0394
67,0,-0.1641,0.2067,-0.0130,0.0072
68,0,-0.1254,-0.1012,0.0134,-0.1302
69,0,-0.0158,-0.1028,-0.0758,0.1042
70,0,-0.0622,-0.0139,0.1217,0.0615
71,0,0.0973,-0.0998,0.2296,0.1246
72,0,-0.2610,-0.0673,0.0936,0.0184
73,0,-0.1585,-0.0159,-0.1621,-0.1799
74,0,-0.1198,0.0181,0.0335,-0.0167
75,0,0.0738,-0.1942,-0.1096,0.1133
76,0,0.0636,-0.0736,-0.1097,0.1654
77,0,0.0496,0.0824,-0.0943,0.0970
78,0,0.0558,-0.0684,-0.0354,0.0545
79,0,0.0744,-0.2051,-0.0032,0.1754
80,0,0.0649,0.1911,-0.0714,-0.0261
81,0,-0.0455,0.0459,-0.1451,0.0639
82,0,0.1899,0.1174,-0.1790,-0.0032
83,0,-0.0888,0.0232,0.0468,-0.0653
84,0,-0.0686,0.0743,0.1575,0.1247
85,0,-0.1416,0.0293,0.0930,0.0686
86,0,0.0170,-0.0171,0.0276,-0.1354
87,0,-0.0382,-0.1220,0.0395,-0.0127
88,0,-0.0578,0.0374,0.0120,0.1497
89,0,-0.2473,-0.0523,-0.0003,0.0105
90,0,0.0307,0.0637,0.0761,-0.0498
91,0,0.0506,0.0056,0.0288,-0.0629
92,0,-0.0408,0.1002,-0.0852,0.0078
93,0,0.0433,-0.1324,0.0089,-0.0344
94,0,-0.0018,-0.0846,-0.0694,0.0273
95,0,0.0917,-0.0134,0.1371,0.0801
96,0,-0.1576,0.0389,-0.3022,0.1503
97,0,0.1413,-0.0949,-0.0651,0.1064
98,0,-0.1085,-0.0632,0.1989,0.1689
99,0,0.0471,0.1719,-0.0748,0.1653
100,0,0.0268,-0.0720,-0.0762,-0.0601
101,0,0.0483,0.1127,0.2368,-0.0091
102,0,0.0766,0.0851,-0.0417,-0.0806
103,0,-0.1020,0.1516,-0.0228,0.0043
104,0,0.0599,0.1664,-0.0620,0.0356
105,0,0.0248,0.0817,0.0552,0.0414
106,0,0.0269,-0.0534,0.1596,-0.0741
107,0,0.0443,-0.1365,0.0231,0.0924
108,0,-0.1018,0.0909,-0.0225,0.1163
109,0,0.1230,0.0143,0.0761,0.0198
110,0,-0.1740,0.0029,-0.1053,-0.1515
111,0,0.0981,0.1304,0.0031,0.0649
112,0,-0.1188,-0.0071,0.1636,-0.0300
113,0,-0.0405,0.0115,0.2270,-0.0348
114,0,-0.0399,-0.1328,-0.0059,0.0911
115,0,-0.0470,-0.2123,-0.0418,-0.0697
116,0,0.0109,-0.1927,-0.0185,-0.0014
117,0,0.0840,0.0807,-0.1531,-0.0484
118,0,0.0314,0.0424,-0.0344,0.0299
119,0,0.1619,-0.0112,-0.0386,-0.0065
120,0,-0.1348,0.1041,0.0273,-0.1098
121,0,-0.1170,-0.2100,-0.1434,-0.1734
122,0,0.0625,-0.0747,0.0404,-0.0431
123,0,-0.1387,-0.0642,-0.0849,-0.1026
124,0,0.0478,0.0429,0.0578,-0.0727
125,0,0.0930,0.1070,-0.0057,-0.0094
126,0,0.0979,0.3633,0.0338,0.0029
127,0,0.0611,-0.0178,-0.0134,0.2694
