t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.17127,0.51821,0.70828,0.01821,40.582
2,0.19497,0.53312,0.56118,0.03312,32.153
3,0.22013,0.54541,0.45461,0.04541,26.047
4,0.24708,0.55299,0.27407,0.05299,15.703
5,0.27486,0.55655,0.12738,0.05655,7.298
6,0.30284,0.55757,0.03650,0.05757,2.091
7,0.33083,0.55688,-0.02452,0.05688,-1.405
8,0.35880,0.55557,-0.04675,0.05557,-2.679
9,0.38678,0.55448,-0.03907,0.05448,-2.239
10,0.41471,0.55250,-0.07088,0.05250,-4.061
11,0.44259,0.54994,-0.09137,0.04994,-5.235
12,0.47055,0.54841,-0.05468,0.04841,-3.133
13,0.49854,0.54761,-0.02873,0.04761,-1.646
14,0.52648,0.54585,-0.06272,0.04585,-3.594
15,0.55446,0.54468,-0.04200,0.04468,-2.406
16,0.58243,0.54359,-0.03896,0.04359,-2.232
17,0.61041,0.54248,-0.03941,0.04248,-2.258
18,0.63838,0.54122,-0.04519,0.04122,-2.589
