t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.17124,0.51824,0.70942,0.01824,40.647
2,0.19506,0.53296,0.55352,0.03296,31.714
3,0.22028,0.54513,0.44977,0.04513,25.770
4,0.24736,0.55225,0.25697,0.05225,14.723
5,0.27521,0.55510,0.10213,0.05510,5.852
6,0.30321,0.55537,0.00968,0.05537,0.555
7,0.33115,0.55354,-0.06535,0.05354,-3.744
8,0.35907,0.55143,-0.07564,0.05143,-4.334
9,0.38702,0.54964,-0.06397,0.04964,-3.665
10,0.41490,0.54706,-0.09237,0.04706,-5.293
11,0.44271,0.54385,-0.11468,0.04385,-6.571
12,0.47064,0.54184,-0.07197,0.04184,-4.123
13,0.49861,0.54046,-0.04935,0.04046,-2.828
14,0.52652,0.53831,-0.07683,0.03831,-4.402
15,0.55447,0.53658,-0.06168,0.03658,-3.534
16,0.58241,0.53471,-0.06681,0.03471,-3.828
17,0.61036,0.53311,-0.05731,0.03311,-3.283
18,0.63833,0.53181,-0.04647,0.03181,-2.662
