t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18036,0.52604,0.70896,0.02604,40.620
2,0.21409,0.54754,0.56740,0.04754,32.510
3,0.24987,0.56544,0.46393,0.06544,26.581
4,0.28832,0.57644,0.27856,0.07644,15.960
5,0.32807,0.58094,0.11287,0.08094,6.467
6,0.36807,0.58120,0.00647,0.08120,0.370
7,0.40797,0.57843,-0.06937,0.07843,-3.974
8,0.44782,0.57497,-0.08645,0.07497,-4.953
9,0.48765,0.57130,-0.09201,0.07130,-5.272
10,0.52733,0.56622,-0.12732,0.06622,-7.295
11,0.56686,0.56013,-0.15296,0.06013,-8.764
12,0.60659,0.55550,-0.11581,0.05550,-6.635
13,0.64642,0.55176,-0.09371,0.05176,-5.369
14,0.68615,0.54710,-0.11669,0.04710,-6.686
15,0.72594,0.54300,-0.10282,0.04300,-5.891
16,0.76570,0.53865,-0.10888,0.03865,-6.238
17,0.80552,0.53488,-0.09447,0.03488,-5.413
18,0.84537,0.53136,-0.08815,0.03136,-5.050
