t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18038,0.52602,0.70828,0.02602,40.582
2,0.21414,0.54747,0.56607,0.04747,32.433
3,0.24983,0.56554,0.46865,0.06554,26.851
4,0.28822,0.57677,0.28444,0.07677,16.297
5,0.32792,0.58167,0.12293,0.08167,7.043
6,0.36791,0.58231,0.01605,0.08231,0.919
7,0.40783,0.57981,-0.06254,0.07981,-3.583
8,0.44773,0.57689,-0.07319,0.07689,-4.194
9,0.48764,0.57429,-0.06504,0.07429,-3.727
10,0.52746,0.57051,-0.09453,0.07051,-5.416
11,0.56719,0.56587,-0.11628,0.06587,-6.662
12,0.60710,0.56312,-0.06882,0.06312,-3.943
13,0.64705,0.56116,-0.04901,0.06116,-2.808
14,0.68695,0.55833,-0.07076,0.05833,-4.054
15,0.72688,0.55598,-0.05876,0.05598,-3.367
16,0.76679,0.55331,-0.06682,0.05331,-3.828
17,0.80674,0.55134,-0.04930,0.05134,-2.824
18,0.84671,0.54965,-0.04229,0.04965,-2.423
