t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.17968,0.52681,0.73464,0.02681,42.092
2,0.21083,0.55191,0.67823,0.05191,38.860
3,0.24387,0.57445,0.59874,0.07445,34.305
4,0.27855,0.59439,0.52172,0.09439,29.893
5,0.31478,0.61135,0.43782,0.11135,25.085
6,0.35226,0.62531,0.35652,0.12531,20.427
7,0.39090,0.63565,0.26143,0.13565,14.979
8,0.43034,0.64231,0.16744,0.14231,9.594
9,0.47028,0.64449,0.05445,0.14449,3.120
10,0.51020,0.64190,-0.06483,0.14190,-3.715
11,0.54983,0.63648,-0.13580,0.13648,-7.781
12,0.58927,0.62979,-0.16806,0.12979,-9.629
13,0.62867,0.62290,-0.17326,0.12290,-9.927
14,0.66781,0.61465,-0.20761,0.11465,-11.895
15,0.70644,0.60427,-0.26267,0.10427,-15.050
16,0.74409,0.59076,-0.34441,0.09076,-19.733
17,0.78068,0.57461,-0.41564,0.07461,-23.814
18,0.81762,0.55925,-0.39421,0.05925,-22.587
