t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18035,0.52606,0.70942,0.02606,40.647
2,0.21441,0.54703,0.55205,0.04703,31.630
3,0.25052,0.56424,0.44474,0.06424,25.482
4,0.28928,0.57410,0.24888,0.07410,14.260
5,0.32912,0.57767,0.08956,0.07767,5.131
6,0.36912,0.57730,-0.00930,0.07730,-0.533
7,0.40896,0.57370,-0.09015,0.07370,-5.165
8,0.44874,0.56953,-0.10440,0.06953,-5.981
9,0.48856,0.56576,-0.09438,0.06576,-5.407
10,0.52826,0.56084,-0.12327,0.06084,-7.063
11,0.56784,0.55503,-0.14586,0.05503,-8.357
12,0.60763,0.55098,-0.10145,0.05098,-5.813
13,0.64752,0.54796,-0.07556,0.04796,-4.329
14,0.68732,0.54396,-0.10013,0.04396,-5.737
15,0.72718,0.54067,-0.08228,0.04067,-4.714
16,0.76704,0.53733,-0.08368,0.03733,-4.795
17,0.80694,0.53450,-0.07075,0.03450,-4.054
18,0.84687,0.53221,-0.05730,0.03221,-3.283
