t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15983,0.50876,0.72798,0.00876,41.710
2,0.17346,0.51836,0.61362,0.01836,35.158
3,0.18735,0.52592,0.49813,0.02592,28.541
4,0.20098,0.53146,0.38613,0.03146,22.124
5,0.21865,0.53704,0.30600,0.03704,17.532
6,0.23612,0.54082,0.21315,0.04082,12.213
7,0.25464,0.54326,0.13085,0.04326,7.497
8,0.27348,0.54422,0.05100,0.04422,2.922
9,0.29248,0.54452,0.01583,0.04452,0.907
10,0.31122,0.54433,-0.00997,0.04433,-0.571
11,0.32959,0.54348,-0.04657,0.04348,-2.668
12,0.34983,0.54239,-0.05394,0.04239,-3.091
13,0.36990,0.54117,-0.06039,0.04117,-3.460
14,0.38894,0.53975,-0.07448,0.03975,-4.267
15,0.40968,0.53805,-0.08189,0.03805,-4.692
16,0.43056,0.53651,-0.07365,0.03651,-4.220
17,0.44995,0.53474,-0.09092,0.03474,-5.209
18,0.46976,0.53306,-0.08456,0.03306,-4.845
