t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15946,0.50846,0.72957,0.00846,41.801
2,0.17290,0.51779,0.60682,0.01779,34.768
3,0.18677,0.52530,0.49634,0.02530,28.438
4,0.20045,0.53101,0.39552,0.03101,22.662
5,0.21861,0.53691,0.31423,0.03691,18.004
6,0.23714,0.54083,0.20838,0.04083,11.939
7,0.25643,0.54327,0.12587,0.04327,7.212
8,0.27631,0.54432,0.05270,0.04432,3.020
9,0.29714,0.54494,0.02996,0.04494,1.717
10,0.31745,0.54507,0.00614,0.04507,0.352
11,0.33759,0.54463,-0.02163,0.04463,-1.239
12,0.35991,0.54397,-0.02996,0.04397,-1.716
13,0.38186,0.54305,-0.04166,0.04305,-2.387
14,0.40264,0.54162,-0.06857,0.04162,-3.929
15,0.42524,0.53967,-0.08621,0.03967,-4.939
16,0.44866,0.53777,-0.08097,0.03777,-4.639
17,0.46994,0.53585,-0.08984,0.03585,-5.147
18,0.49188,0.53414,-0.07798,0.03414,-4.468
