t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16452,0.51295,0.72815,0.01295,41.720
2,0.16838,0.51607,0.67996,0.01607,38.959
3,0.17450,0.51905,0.45353,0.01905,25.986
4,0.18258,0.52263,0.41643,0.02263,23.860
5,0.18614,0.52381,0.32235,0.02381,18.470
6,0.18956,0.52458,0.22136,0.02458,12.683
7,0.19878,0.52736,0.29268,0.02736,16.770
8,0.21063,0.53378,0.49667,0.03378,28.457
9,0.21337,0.53632,0.74546,0.03632,42.712
10,0.21618,0.53841,0.64198,0.03841,36.783
11,0.21922,0.54014,0.51691,0.04014,29.617
12,0.22256,0.54167,0.42748,0.04167,24.493
13,0.22573,0.54315,0.43850,0.04315,25.124
14,0.22847,0.54534,0.67437,0.04534,38.639
15,0.23136,0.54731,0.59782,0.04731,34.253
16,0.23435,0.54912,0.54387,0.04912,31.161
17,0.23731,0.55099,0.56524,0.05099,32.386
18,0.24037,0.55270,0.50845,0.05270,29.132
