t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15886,0.50815,0.74396,0.00815,42.626
2,0.16929,0.51588,0.63762,0.01588,36.533
3,0.18113,0.52222,0.49158,0.02222,28.165
4,0.19223,0.52678,0.38955,0.02678,22.319
5,0.20609,0.53103,0.29780,0.03103,17.063
6,0.22078,0.53376,0.18358,0.03376,10.518
7,0.23540,0.53528,0.10401,0.03528,5.960
8,0.25056,0.53571,0.02805,0.03571,1.607
9,0.26547,0.53571,0.00013,0.03571,0.008
10,0.28045,0.53538,-0.02244,0.03538,-1.286
11,0.29457,0.53464,-0.05215,0.03464,-2.988
12,0.30963,0.53397,-0.04467,0.03397,-2.560
13,0.32495,0.53322,-0.04867,0.03322,-2.789
14,0.33991,0.53219,-0.06882,0.03219,-3.943
15,0.35586,0.53090,-0.08049,0.03090,-4.611
16,0.37138,0.52975,-0.07437,0.02975,-4.261
17,0.38609,0.52853,-0.08221,0.02853,-4.711
18,0.40097,0.52738,-0.07746,0.02738,-4.438
