t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16620,0.51480,0.74030,0.01480,42.416,0.21949
2,0.18420,0.52836,0.64551,0.02836,36.985,0.22528
3,0.20627,0.54063,0.50754,0.04063,29.080,0.25255
4,0.22852,0.55021,0.40631,0.05021,23.280,0.24220
5,0.24341,0.55552,0.34273,0.05552,19.637,0.15813
6,0.26344,0.56107,0.27028,0.06107,15.486,0.20786
7,0.28595,0.56506,0.17554,0.06506,10.058,0.22861
8,0.30711,0.56739,0.10971,0.06739,6.286,0.21286
9,0.32208,0.56845,0.07066,0.06845,4.048,0.15005
10,0.33638,0.56902,0.03981,0.06902,2.281,0.14307
11,0.34844,0.56956,0.04506,0.06956,2.582,0.12073
12,0.36511,0.57010,0.03197,0.07010,1.832,0.16680
13,0.38411,0.57010,-0.00011,0.07010,-0.006,0.19002
14,0.39730,0.56973,-0.02805,0.06973,-1.607,0.13194
15,0.41101,0.56905,-0.04892,0.06905,-2.803,0.13725
16,0.42970,0.56788,-0.06256,0.06788,-3.584,0.18727
17,0.44507,0.56705,-0.05424,0.06705,-3.108,0.15396
18,0.46166,0.56594,-0.06706,0.06594,-3.842,0.16629
19,0.47498,0.56477,-0.08696,0.06477,-4.982,0.13371
20,0.49258,0.56353,-0.07067,0.06353,-4.049,0.17639
21,0.51230,0.56192,-0.08142,0.06192,-4.665,0.19790
22,0.52696,0.56061,-0.08878,0.06061,-5.087,0.14717
23,0.54521,0.55869,-0.10495,0.05869,-6.013,0.18351
24,0.56180,0.55694,-0.10527,0.05694,-6.032,0.16677
25,0.57926,0.55488,-0.11757,0.05488,-6.736,0.17582
26,0.59737,0.55288,-0.10974,0.05288,-6.288,0.18225
27,0.61385,0.55135,-0.09273,0.05135,-5.313,0.16552
28,0.62867,0.54970,-0.11065,0.04970,-6.340,0.14909
29,0.64358,0.54819,-0.10132,0.04819,-5.805,0.14981
30,0.65905,0.54657,-0.10386,0.04657,-5.951,0.15553
