t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16545,0.51484,0.76545,0.01484,43.857,0.21424
2,0.17950,0.52786,0.74731,0.02786,42.818,0.19155
3,0.19826,0.54134,0.62276,0.04134,35.682,0.23101
4,0.22263,0.55383,0.47380,0.05383,27.147,0.27388
5,0.25040,0.56266,0.30762,0.06266,17.625,0.29138
6,0.27566,0.56795,0.20675,0.06795,11.846,0.25811
7,0.29678,0.57111,0.14842,0.07111,8.504,0.21351
8,0.31799,0.57273,0.07614,0.07273,4.363,0.21268
9,0.33364,0.57326,0.03397,0.07326,1.946,0.15662
10,0.35550,0.57271,-0.02506,0.07271,-1.436,0.21865
11,0.37288,0.57232,-0.02251,0.07232,-1.290,0.17389
12,0.39108,0.57128,-0.05712,0.07128,-3.272,0.18228
13,0.41120,0.56972,-0.07767,0.06972,-4.450,0.20175
14,0.43014,0.56763,-0.10971,0.06763,-6.286,0.19062
15,0.44879,0.56584,-0.09569,0.06584,-5.483,0.18735
16,0.46741,0.56477,-0.05749,0.06477,-3.294,0.18645
17,0.48473,0.56340,-0.07868,0.06340,-4.508,0.17373
18,0.50192,0.56203,-0.07942,0.06203,-4.550,0.17248
19,0.52472,0.55939,-0.11544,0.05939,-6.614,0.22949
20,0.54366,0.55777,-0.08525,0.05777,-4.885,0.19009
21,0.56417,0.55585,-0.09326,0.05585,-5.343,0.20603
22,0.58215,0.55438,-0.08158,0.05438,-4.674,0.18045
23,0.60193,0.55251,-0.09442,0.05251,-5.410,0.19861
24,0.62258,0.55063,-0.09065,0.05063,-5.194,0.20740
25,0.64097,0.54861,-0.10976,0.04861,-6.289,0.18501
26,0.66109,0.54631,-0.11382,0.04631,-6.521,0.20252
27,0.67916,0.54454,-0.09734,0.04454,-5.577,0.18152
28,0.69662,0.54262,-0.10977,0.04262,-6.289,0.17572
29,0.71451,0.54088,-0.09706,0.04088,-5.561,0.17972
30,0.73213,0.53897,-0.10771,0.03897,-6.171,0.17724
