t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16477,0.51470,0.78300,0.01470,44.863,0.20836
2,0.17929,0.52857,0.76225,0.02857,43.673,0.20082
3,0.19877,0.54317,0.64346,0.04317,36.868,0.24345
4,0.22326,0.55661,0.50198,0.05661,28.762,0.27934
5,0.25196,0.56672,0.33847,0.06672,19.393,0.30426
6,0.28137,0.57362,0.23062,0.07362,13.214,0.30208
7,0.30896,0.57800,0.15743,0.07800,9.020,0.27944
8,0.33559,0.57961,0.06047,0.07961,3.465,0.26675
9,0.35623,0.57985,0.01162,0.07985,0.666,0.20644
10,0.38159,0.57860,-0.04931,0.07860,-2.825,0.25386
11,0.40370,0.57772,-0.03987,0.07772,-2.285,0.22131
12,0.42662,0.57586,-0.08108,0.07586,-4.645,0.22996
13,0.45102,0.57366,-0.08978,0.07366,-5.144,0.24493
14,0.47478,0.57071,-0.12357,0.07071,-7.080,0.23947
15,0.49708,0.56833,-0.10642,0.06833,-6.098,0.22430
16,0.52001,0.56597,-0.10248,0.06597,-5.871,0.23050
17,0.54239,0.56363,-0.10393,0.06363,-5.955,0.22502
18,0.56537,0.56114,-0.10813,0.06114,-6.196,0.23107
19,0.59004,0.55779,-0.13495,0.05779,-7.732,0.24904
20,0.61331,0.55529,-0.10709,0.05529,-6.136,0.23405
21,0.63654,0.55277,-0.10817,0.05277,-6.197,0.23358
22,0.65917,0.55069,-0.09147,0.05069,-5.241,0.22728
23,0.68316,0.54820,-0.10368,0.04820,-5.940,0.24116
24,0.70702,0.54571,-0.10388,0.04571,-5.952,0.23994
25,0.73161,0.54254,-0.12797,0.04254,-7.332,0.24788
26,0.75647,0.53985,-0.10787,0.03985,-6.180,0.25009
27,0.77984,0.53810,-0.07465,0.03810,-4.277,0.23435
28,0.80317,0.53632,-0.07614,0.03632,-4.363,0.23396
29,0.82585,0.53494,-0.06103,0.03494,-3.497,0.22728
30,0.84899,0.53319,-0.07527,0.03319,-4.313,0.23204
