t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16696,0.51642,0.76937,0.01642,44.081,0.23607
2,0.18233,0.53149,0.77517,0.03149,44.414,0.21527
3,0.20416,0.54711,0.62131,0.04711,35.598,0.26837
4,0.23004,0.56009,0.46468,0.06009,26.624,0.28954
5,0.26018,0.56908,0.29002,0.06908,16.617,0.31456
6,0.28931,0.57475,0.19226,0.07475,11.016,0.29676
7,0.31617,0.57890,0.15316,0.07890,8.775,0.27173
8,0.34361,0.58040,0.05467,0.08040,3.132,0.27480
9,0.36354,0.58069,0.01482,0.08069,0.849,0.19940
10,0.38878,0.57964,-0.04171,0.07964,-2.390,0.25256
11,0.41146,0.57906,-0.02559,0.07906,-1.466,0.22692
12,0.43466,0.57742,-0.07061,0.07742,-4.045,0.23251
13,0.45959,0.57520,-0.08892,0.07520,-5.095,0.25029
14,0.48430,0.57195,-0.13074,0.07195,-7.491,0.24927
15,0.50683,0.56954,-0.10627,0.06954,-6.089,0.22659
16,0.52966,0.56734,-0.09605,0.06734,-5.503,0.22936
17,0.55292,0.56510,-0.09614,0.06510,-5.508,0.23362
18,0.57651,0.56250,-0.10989,0.06250,-6.296,0.23730
19,0.60221,0.55902,-0.13472,0.05902,-7.719,0.25941
20,0.62645,0.55633,-0.11050,0.05633,-6.331,0.24388
21,0.65079,0.55347,-0.11690,0.05347,-6.698,0.24509
22,0.67436,0.55111,-0.09963,0.05111,-5.709,0.23687
23,0.69859,0.54849,-0.10762,0.04849,-6.166,0.24374
24,0.72332,0.54581,-0.10793,0.04581,-6.184,0.24872
25,0.74894,0.54247,-0.12965,0.04247,-7.429,0.25835
26,0.77494,0.53987,-0.09985,0.03987,-5.721,0.26128
27,0.79876,0.53814,-0.07253,0.03814,-4.156,0.23887
28,0.82237,0.53627,-0.07902,0.03627,-4.528,0.23686
29,0.84591,0.53493,-0.05690,0.03493,-3.260,0.23576
30,0.86965,0.53306,-0.07864,0.03306,-4.506,0.23816
