t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16532,0.51425,0.74899,0.01425,42.914,0.20924
2,0.18207,0.52710,0.65466,0.02710,37.509,0.21116
3,0.20285,0.53899,0.51977,0.03899,29.781,0.23939
4,0.22350,0.54840,0.42752,0.04840,24.495,0.22690
5,0.23695,0.55354,0.36513,0.05354,20.920,0.14396
6,0.25456,0.55876,0.28791,0.05876,16.496,0.18368
7,0.27198,0.56254,0.21369,0.06254,12.244,0.17823
8,0.28766,0.56499,0.15507,0.06499,8.885,0.15876
9,0.29750,0.56626,0.12859,0.06626,7.367,0.09920
10,0.30645,0.56720,0.10493,0.06720,6.012,0.08998
11,0.31197,0.56777,0.10286,0.06777,5.894,0.05548
12,0.32066,0.56858,0.09242,0.06858,5.295,0.08731
13,0.33410,0.56945,0.06468,0.06945,3.706,0.13465
14,0.34301,0.56984,0.04381,0.06984,2.510,0.08916
15,0.35159,0.57007,0.02676,0.07007,1.533,0.08584
16,0.36462,0.57014,0.00503,0.07014,0.288,0.13038
17,0.37412,0.57022,0.00913,0.07022,0.523,0.09497
18,0.38519,0.57011,-0.01032,0.07011,-0.591,0.11070
19,0.39142,0.56998,-0.02097,0.06998,-1.201,0.06230
20,0.40190,0.56977,-0.01973,0.06977,-1.130,0.10480
21,0.41235,0.56948,-0.02812,0.06948,-1.611,0.10461
22,0.41979,0.56922,-0.03508,0.06922,-2.010,0.07436
23,0.43048,0.56867,-0.05077,0.06867,-2.909,0.10707
24,0.44045,0.56815,-0.05203,0.06815,-2.981,0.09986
25,0.45081,0.56755,-0.05816,0.06755,-3.332,0.10377
26,0.46131,0.56694,-0.05820,0.06694,-3.335,0.10514
27,0.47182,0.56632,-0.05839,0.06632,-3.345,0.10528
28,0.48115,0.56572,-0.06486,0.06572,-3.716,0.09354
29,0.49075,0.56508,-0.06669,0.06508,-3.821,0.09621
30,0.50074,0.56435,-0.07285,0.06435,-4.174,0.10012
