t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16695,0.51645,0.77045,0.01645,44.143,0.23625
2,0.18115,0.53028,0.77234,0.03028,44.252,0.19814
3,0.20034,0.54452,0.63824,0.04452,36.568,0.23904
4,0.22587,0.55795,0.48417,0.05795,27.741,0.28839
5,0.25607,0.56761,0.30960,0.06761,17.739,0.31708
6,0.28337,0.57503,0.26541,0.07503,15.207,0.28297
7,0.31005,0.58024,0.19308,0.08024,11.063,0.27181
8,0.33992,0.58275,0.08375,0.08275,4.799,0.29972
9,0.35868,0.58369,0.04986,0.08369,2.857,0.18784
10,0.38560,0.58306,-0.02329,0.08306,-1.334,0.26933
11,0.40867,0.58275,-0.01330,0.08275,-0.762,0.23064
12,0.43387,0.58083,-0.07622,0.08083,-4.367,0.25278
13,0.46000,0.57808,-0.10487,0.07808,-6.009,0.26270
14,0.48646,0.57467,-0.12823,0.07467,-7.347,0.26683
15,0.51019,0.57180,-0.12033,0.07180,-6.895,0.23905
16,0.53372,0.56951,-0.09681,0.06951,-5.547,0.23634
17,0.55924,0.56681,-0.10545,0.06681,-6.042,0.25662
18,0.58492,0.56375,-0.11847,0.06375,-6.788,0.25864
19,0.61408,0.55953,-0.14400,0.05953,-8.251,0.29470
20,0.63852,0.55699,-0.10344,0.05699,-5.926,0.24566
21,0.66632,0.55399,-0.10740,0.05399,-6.153,0.27964
22,0.69108,0.55183,-0.08703,0.05183,-4.986,0.24856
23,0.71722,0.54924,-0.09877,0.04924,-5.659,0.26264
24,0.74470,0.54666,-0.09349,0.04666,-5.357,0.27606
25,0.77046,0.54351,-0.12186,0.04351,-6.982,0.25944
26,0.79666,0.54083,-0.10176,0.04083,-5.830,0.26342
27,0.82110,0.53960,-0.05049,0.03960,-2.893,0.24470
28,0.84514,0.53792,-0.06995,0.03792,-4.008,0.24098
29,0.86983,0.53668,-0.04989,0.03668,-2.859,0.24725
30,0.89604,0.53480,-0.07175,0.03480,-4.111,0.26276
