t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16745,0.51685,0.76800,0.01685,44.003,0.24256
2,0.18146,0.53072,0.78036,0.03072,44.712,0.19717
3,0.20090,0.54523,0.64121,0.04523,36.739,0.24256
4,0.22610,0.55842,0.48210,0.05842,27.622,0.28446
5,0.25612,0.56776,0.30164,0.06776,17.282,0.31432
6,0.28233,0.57361,0.21945,0.07361,12.573,0.26862
7,0.30704,0.57738,0.15173,0.07738,8.694,0.24989
8,0.33379,0.57883,0.05420,0.07883,3.105,0.26795
9,0.35051,0.57923,0.02391,0.07923,1.370,0.16720
10,0.37476,0.57821,-0.04210,0.07821,-2.412,0.24275
11,0.39472,0.57777,-0.02240,0.07777,-1.283,0.19967
12,0.41677,0.57644,-0.06000,0.07644,-3.438,0.22085
13,0.44013,0.57443,-0.08604,0.07443,-4.930,0.23448
14,0.46400,0.57142,-0.12536,0.07142,-7.183,0.24063
15,0.48590,0.56890,-0.11466,0.06890,-6.570,0.22042
16,0.50656,0.56725,-0.07965,0.06725,-4.564,0.20723
17,0.52731,0.56530,-0.09342,0.06530,-5.352,0.20840
18,0.55022,0.56302,-0.09937,0.06302,-5.693,0.23024
19,0.57765,0.55932,-0.13415,0.05932,-7.686,0.27679
20,0.60023,0.55706,-0.09945,0.05706,-5.698,0.22689
21,0.62478,0.55443,-0.10683,0.05443,-6.121,0.24698
22,0.64628,0.55259,-0.08533,0.05259,-4.889,0.21580
23,0.66907,0.55042,-0.09491,0.05042,-5.438,0.22885
24,0.69238,0.54807,-0.10059,0.04807,-5.764,0.23438
25,0.71494,0.54531,-0.12174,0.04531,-6.975,0.22725
26,0.73808,0.54232,-0.12842,0.04232,-7.358,0.23330
27,0.75990,0.54030,-0.09215,0.04030,-5.280,0.21915
28,0.77944,0.53811,-0.11195,0.03811,-6.414,0.19667
29,0.80098,0.53631,-0.08333,0.03631,-4.775,0.21610
30,0.82299,0.53428,-0.09173,0.03428,-5.256,0.22102
