y0,model,mode,max_excursion,in_bounds
0.05,oracle,fixed,0.1013,1
0.1,oracle,fixed,0.1474,1
0.13,oracle,fixed,0.1724,1
0.15,oracle,fixed,0.1891,1
0.17,oracle,fixed,0.2080,0
0.18,oracle,fixed,0.2214,0
0.05,ego,fixed,0.1026,1
0.1,ego,fixed,0.1510,1
0.13,ego,fixed,0.1782,1
0.15,ego,fixed,0.1959,1
0.17,ego,fixed,0.2062,0
0.18,ego,fixed,0.2184,0
0.05,grounded,fixed,0.1138,1
0.1,grounded,fixed,0.1649,1
0.13,grounded,fixed,0.2019,0
0.15,grounded,fixed,0.2144,0
0.17,grounded,fixed,0.2231,0
0.18,grounded,fixed,0.2310,0
0.05,jepa,fixed,0.1050,1
0.1,jepa,fixed,0.1517,1
0.13,jepa,fixed,0.1714,1
0.15,jepa,fixed,0.4253,0
0.17,jepa,fixed,0.4936,0
0.18,jepa,fixed,0.4817,0
0.05,oracle,plan-speed,0.1026,1
0.1,oracle,plan-speed,0.1422,1
0.13,oracle,plan-speed,0.1662,1
0.15,oracle,plan-speed,0.1772,1
0.17,oracle,plan-speed,0.1922,1
0.18,oracle,plan-speed,0.1932,1
0.05,ego,plan-speed,0.1045,1
0.1,ego,plan-speed,0.1524,1
0.13,ego,plan-speed,0.1848,1
0.15,ego,plan-speed,0.1917,1
0.17,ego,plan-speed,0.1984,1
0.18,ego,plan-speed,0.1983,1
0.05,grounded,plan-speed,0.1211,1
0.1,grounded,plan-speed,0.1699,1
0.13,grounded,plan-speed,0.1834,1
0.15,grounded,plan-speed,0.2399,0
0.17,grounded,plan-speed,0.2003,0
0.18,grounded,plan-speed,0.2177,0
0.05,jepa,plan-speed,0.1685,1
0.1,jepa,plan-speed,0.1983,1
0.13,jepa,plan-speed,0.2379,0
0.15,jepa,plan-speed,0.2612,0
0.17,jepa,plan-speed,0.2611,0
0.18,jepa,plan-speed,0.2652,0
