t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18032,0.52609,0.71062,0.02609,40.715
2,0.21489,0.54621,0.52713,0.04621,30.202
3,0.25159,0.56212,0.40892,0.06212,23.429
4,0.29073,0.57039,0.20823,0.07039,11.931
5,0.33069,0.57199,0.03997,0.07199,2.290
6,0.37061,0.56940,-0.06465,0.06940,-3.704
7,0.41010,0.56300,-0.16072,0.06300,-9.208
8,0.44960,0.55671,-0.15792,0.05671,-9.048
9,0.48925,0.55148,-0.13122,0.05148,-7.518
10,0.52885,0.54581,-0.14209,0.04581,-8.141
11,0.56834,0.53946,-0.15951,0.03946,-9.139
12,0.60810,0.53503,-0.11089,0.03503,-6.353
13,0.64795,0.53158,-0.08635,0.03158,-4.948
14,0.68770,0.52711,-0.11207,0.02711,-6.421
15,0.72743,0.52250,-0.11550,0.02250,-6.618
16,0.76721,0.51831,-0.10487,0.01831,-6.009
17,0.80701,0.51433,-0.09959,0.01433,-5.706
18,0.84693,0.51172,-0.06535,0.01172,-3.744
