t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18095,0.52534,0.68607,0.02534,39.309
2,0.21684,0.54300,0.45738,0.04300,26.206
3,0.25549,0.55330,0.26026,0.05330,14.912
4,0.29470,0.56121,0.19908,0.06121,11.407
5,0.33469,0.56208,0.02168,0.06208,1.242
6,0.37464,0.56005,-0.05058,0.06005,-2.898
7,0.41444,0.55604,-0.10048,0.05604,-5.757
8,0.45418,0.55147,-0.11454,0.05147,-6.563
9,0.49393,0.54703,-0.11126,0.04703,-6.375
10,0.53361,0.54198,-0.12663,0.04198,-7.256
11,0.57273,0.53366,-0.20946,0.03366,-12.001
12,0.61234,0.52807,-0.14024,0.02807,-8.035
13,0.65224,0.52521,-0.07156,0.02521,-4.100
14,0.69220,0.52349,-0.04295,0.02349,-2.461
15,0.73218,0.52225,-0.03103,0.02225,-1.778
16,0.77218,0.52301,0.01891,0.02301,1.083
17,0.81213,0.52104,-0.04906,0.02104,-2.811
18,0.85212,0.52038,-0.01647,0.02038,-0.943
