t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.17078,0.51877,0.73464,0.01877,42.092
2,0.19268,0.53621,0.67237,0.03621,38.524
3,0.21609,0.55158,0.58124,0.05158,33.303
4,0.24041,0.56544,0.51782,0.06544,29.669
5,0.26570,0.57748,0.44428,0.07748,25.455
6,0.29177,0.58768,0.37286,0.08768,21.363
7,0.31847,0.59613,0.30669,0.09613,17.572
8,0.34556,0.60321,0.25582,0.10321,14.657
9,0.37296,0.60897,0.20690,0.10897,11.854
10,0.40067,0.61295,0.14287,0.11295,8.186
11,0.42855,0.61552,0.09181,0.11552,5.260
12,0.45654,0.61640,0.03146,0.11640,1.803
13,0.48454,0.61594,-0.01650,0.11594,-0.945
14,0.51250,0.61455,-0.04950,0.11455,-2.836
15,0.54047,0.61315,-0.05029,0.11315,-2.881
16,0.56840,0.61117,-0.07055,0.11117,-4.042
17,0.59624,0.60816,-0.10763,0.10816,-6.167
18,0.62387,0.60363,-0.16260,0.10363,-9.316
