t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16821,0.51563,0.70942,0.01563,40.647
2,0.18862,0.52826,0.55402,0.02826,31.743
3,0.21022,0.53873,0.45143,0.03873,25.865
4,0.23341,0.54489,0.25969,0.04489,14.879
5,0.25728,0.54744,0.10640,0.04744,6.096
6,0.28127,0.54783,0.01609,0.04783,0.922
7,0.30523,0.54646,-0.05692,0.04646,-3.261
8,0.32918,0.54488,-0.06579,0.04488,-3.770
9,0.35315,0.54360,-0.05343,0.04360,-3.061
10,0.37707,0.54165,-0.08151,0.04165,-4.670
11,0.40094,0.53917,-0.10356,0.03917,-5.933
12,0.42489,0.53770,-0.06119,0.03770,-3.506
13,0.44888,0.53675,-0.03944,0.03675,-2.259
14,0.47282,0.53513,-0.06767,0.03513,-3.877
15,0.49679,0.53385,-0.05321,0.03385,-3.048
16,0.52074,0.53243,-0.05936,0.03243,-3.401
17,0.54471,0.53121,-0.05083,0.03121,-2.912
18,0.56869,0.53023,-0.04076,0.03023,-2.336
