t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16049,0.50931,0.72589,0.00931,41.591
2,0.17546,0.51973,0.60803,0.01973,34.838
3,0.19077,0.52787,0.48889,0.02787,28.011
4,0.20636,0.53406,0.37769,0.03406,21.640
5,0.22588,0.53980,0.28587,0.03980,16.379
6,0.24492,0.54359,0.19649,0.04359,11.258
7,0.26534,0.54583,0.10958,0.04583,6.278
8,0.28587,0.54663,0.03891,0.04663,2.229
9,0.30656,0.54672,0.00407,0.04672,0.233
10,0.32718,0.54626,-0.02215,0.04626,-1.269
11,0.34763,0.54510,-0.05654,0.04510,-3.239
12,0.36938,0.54373,-0.06284,0.04373,-3.601
13,0.39108,0.54233,-0.06466,0.04233,-3.705
14,0.41200,0.54065,-0.08025,0.04065,-4.598
15,0.43397,0.53873,-0.08692,0.03873,-4.980
16,0.45659,0.53708,-0.07302,0.03708,-4.184
17,0.47837,0.53538,-0.07777,0.03538,-4.456
18,0.50037,0.53380,-0.07151,0.03380,-4.097
