t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16090,0.50975,0.72960,0.00975,41.803
2,0.17581,0.52013,0.60807,0.02013,34.840
3,0.19155,0.52843,0.48526,0.02843,27.803
4,0.20717,0.53446,0.36845,0.03446,21.110
5,0.22684,0.54000,0.27472,0.04000,15.740
6,0.24627,0.54343,0.17478,0.04343,10.014
7,0.26671,0.54521,0.08682,0.04521,4.974
8,0.28753,0.54534,0.00609,0.04534,0.349
9,0.30874,0.54492,-0.01973,0.04492,-1.131
10,0.32921,0.54424,-0.03334,0.04424,-1.910
11,0.34991,0.54297,-0.06106,0.04297,-3.499
12,0.37195,0.54169,-0.05788,0.04169,-3.316
13,0.39373,0.54062,-0.04932,0.04062,-2.826
14,0.41484,0.53930,-0.06229,0.03930,-3.569
15,0.43712,0.53766,-0.07369,0.03766,-4.222
16,0.45984,0.53627,-0.06084,0.03627,-3.486
17,0.48183,0.53508,-0.05440,0.03508,-3.117
18,0.50419,0.53410,-0.04352,0.03410,-2.494
