t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16167,0.51026,0.72119,0.01026,41.321
2,0.17662,0.52067,0.60809,0.02067,34.841
3,0.19281,0.52936,0.49271,0.02936,28.230
4,0.20893,0.53598,0.38964,0.03598,22.324
5,0.22819,0.54177,0.29200,0.04177,16.731
6,0.24755,0.54574,0.20261,0.04574,11.609
7,0.26815,0.54806,0.11213,0.04806,6.424
8,0.28888,0.54876,0.03358,0.04876,1.924
9,0.30941,0.54884,0.00407,0.04884,0.233
10,0.32924,0.54866,-0.00919,0.04866,-0.527
11,0.34895,0.54793,-0.03697,0.04793,-2.118
12,0.37044,0.54723,-0.03263,0.04723,-1.869
13,0.39164,0.54649,-0.03491,0.04649,-2.000
14,0.41224,0.54530,-0.05800,0.04530,-3.323
15,0.43414,0.54353,-0.08057,0.04353,-4.616
16,0.45594,0.54183,-0.07758,0.04183,-4.445
17,0.47745,0.53995,-0.08731,0.03995,-5.002
18,0.49912,0.53808,-0.08611,0.03808,-4.934
