t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16048,0.50964,0.74396,0.00964,42.626
2,0.17261,0.51862,0.63741,0.01862,36.521
3,0.18626,0.52592,0.49090,0.02592,28.127
4,0.19936,0.53128,0.38807,0.03128,22.235
5,0.21502,0.53604,0.29524,0.03604,16.916
6,0.23152,0.53904,0.17976,0.03904,10.299
7,0.24801,0.54068,0.09892,0.04068,5.668
8,0.26498,0.54105,0.02173,0.04105,1.245
9,0.28176,0.54093,-0.00708,0.04093,-0.405
10,0.29859,0.54042,-0.03021,0.04042,-1.731
11,0.31471,0.53944,-0.06046,0.03944,-3.464
12,0.33160,0.53854,-0.05328,0.03854,-3.053
13,0.34871,0.53756,-0.05728,0.03756,-3.282
14,0.36552,0.53626,-0.07743,0.03626,-4.436
15,0.38312,0.53469,-0.08885,0.03469,-5.091
16,0.40038,0.53326,-0.08240,0.03326,-4.721
17,0.41697,0.53177,-0.08984,0.03177,-5.147
18,0.43372,0.53035,-0.08471,0.03035,-4.853
