t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16123,0.51005,0.72983,0.01005,41.816
2,0.17471,0.52011,0.64131,0.02011,36.744
3,0.18881,0.52814,0.51775,0.02814,29.665
4,0.20206,0.53406,0.42000,0.03406,24.064
5,0.21791,0.53937,0.32364,0.03937,18.543
6,0.23423,0.54303,0.22017,0.04303,12.615
7,0.25055,0.54545,0.14744,0.04545,8.448
8,0.26726,0.54651,0.06342,0.04651,3.634
9,0.28359,0.54676,0.01486,0.04676,0.852
10,0.30025,0.54632,-0.02594,0.04632,-1.486
11,0.31640,0.54534,-0.06085,0.04534,-3.486
12,0.33325,0.54442,-0.05421,0.04442,-3.106
13,0.35056,0.54338,-0.06025,0.04338,-3.452
14,0.36757,0.54211,-0.07484,0.04211,-4.288
15,0.38550,0.54048,-0.09012,0.04048,-5.164
16,0.40301,0.53902,-0.08365,0.03902,-4.793
17,0.41985,0.53738,-0.09672,0.03738,-5.542
18,0.43673,0.53580,-0.09329,0.03580,-5.345
