t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16140,0.51050,0.74443,0.01050,42.653
2,0.17361,0.51956,0.63821,0.01956,36.567
3,0.18765,0.52708,0.49201,0.02708,28.190
4,0.20082,0.53264,0.39931,0.03264,22.879
5,0.21603,0.53753,0.31120,0.03753,17.831
6,0.23247,0.54092,0.20322,0.04092,11.643
7,0.24913,0.54291,0.11863,0.04291,6.797
8,0.26591,0.54352,0.03628,0.04352,2.078
9,0.28273,0.54372,0.01187,0.04372,0.680
10,0.29940,0.54341,-0.01828,0.04341,-1.048
11,0.31548,0.54263,-0.04854,0.04263,-2.781
12,0.33232,0.54197,-0.03932,0.04197,-2.253
13,0.34948,0.54111,-0.04984,0.04111,-2.856
14,0.36635,0.53970,-0.08373,0.03970,-4.797
15,0.38394,0.53799,-0.09645,0.03799,-5.526
16,0.40076,0.53632,-0.09942,0.03632,-5.697
17,0.41736,0.53455,-0.10616,0.03455,-6.083
18,0.43388,0.53310,-0.08748,0.03310,-5.012
