t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16827,0.51556,0.70533,0.01556,40.413
2,0.18851,0.52845,0.56726,0.02845,32.501
3,0.20984,0.53946,0.47632,0.03946,27.291
4,0.23283,0.54637,0.29197,0.04637,16.729
5,0.25659,0.54972,0.13997,0.04972,8.020
6,0.28056,0.55093,0.05046,0.05093,2.891
7,0.30456,0.55061,-0.01327,0.05061,-0.760
8,0.32856,0.55015,-0.01911,0.05015,-1.095
9,0.35256,0.55007,-0.00333,0.05007,-0.191
10,0.37654,0.54928,-0.03304,0.04928,-1.893
11,0.40050,0.54778,-0.06232,0.04778,-3.571
12,0.42449,0.54720,-0.02409,0.04720,-1.380
13,0.44849,0.54700,-0.00849,0.04700,-0.487
14,0.47247,0.54612,-0.03670,0.04612,-2.103
15,0.49646,0.54554,-0.02412,0.04554,-1.382
16,0.52045,0.54478,-0.03148,0.04478,-1.804
17,0.54445,0.54434,-0.01832,0.04434,-1.050
18,0.56844,0.54387,-0.01980,0.04387,-1.134
