t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16080,0.50966,0.72970,0.00966,41.809
2,0.17561,0.51993,0.60642,0.01993,34.745
3,0.19111,0.52813,0.48624,0.02813,27.859
4,0.20646,0.53409,0.37038,0.03409,21.221
5,0.22589,0.53964,0.27819,0.03964,15.939
6,0.24496,0.54311,0.17999,0.04311,10.313
7,0.26501,0.54491,0.08982,0.04491,5.146
8,0.28551,0.54526,0.01721,0.04526,0.986
9,0.30630,0.54518,-0.00410,0.04518,-0.235
10,0.32670,0.54479,-0.01930,0.04479,-1.106
11,0.34697,0.54391,-0.04311,0.04391,-2.470
12,0.36868,0.54305,-0.03976,0.04305,-2.278
13,0.39015,0.54228,-0.03573,0.04228,-2.047
14,0.41092,0.54111,-0.05645,0.04111,-3.235
15,0.43285,0.53955,-0.07070,0.03955,-4.051
16,0.45511,0.53810,-0.06529,0.03810,-3.741
17,0.47657,0.53669,-0.06549,0.03669,-3.752
18,0.49842,0.53537,-0.06029,0.03537,-3.454
