t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16229,0.51099,0.72996,0.01099,41.824
2,0.17628,0.52101,0.62117,0.02101,35.590
3,0.19208,0.52955,0.49546,0.02955,28.388
4,0.20725,0.53578,0.38992,0.03578,22.341
5,0.22636,0.54155,0.29306,0.04155,16.791
6,0.24588,0.54506,0.17770,0.04506,10.181
7,0.26506,0.54655,0.07766,0.04655,4.450
8,0.28536,0.54654,-0.00030,0.04654,-0.017
9,0.30526,0.54599,-0.02783,0.04599,-1.595
10,0.32360,0.54516,-0.04516,0.04516,-2.588
11,0.34254,0.54419,-0.05122,0.04419,-2.935
12,0.36283,0.54323,-0.04730,0.04323,-2.710
13,0.38334,0.54230,-0.04515,0.04230,-2.587
14,0.40272,0.54105,-0.06423,0.04105,-3.680
15,0.42315,0.53949,-0.07647,0.03949,-4.381
16,0.44520,0.53815,-0.06049,0.03815,-3.466
17,0.46561,0.53695,-0.05901,0.03695,-3.381
18,0.48728,0.53607,-0.04029,0.03607,-2.308
