t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15729,0.50951,0.91690,0.00951,52.535
2,0.16233,0.51471,0.80086,0.01471,45.886
3,0.16555,0.51820,0.82465,0.01820,47.249
4,0.17032,0.52306,0.79518,0.02306,45.561
5,0.18059,0.53466,0.84625,0.03466,48.487
6,0.19172,0.55499,1.06987,0.05499,61.299
7,0.19418,0.56179,1.22365,0.06179,70.110
8,0.19531,0.56640,1.33023,0.06640,76.216
9,0.19716,0.57078,1.17129,0.07078,67.110
10,0.19966,0.57536,1.07101,0.07536,61.364
11,0.20216,0.57940,1.01752,0.07940,58.300
12,0.20438,0.58360,1.08388,0.08360,62.102
13,0.20658,0.58813,1.11810,0.08813,64.062
14,0.20910,0.59215,1.01239,0.09215,58.005
15,0.21220,0.59711,1.01168,0.09711,57.965
16,0.21595,0.60305,1.00733,0.10305,57.716
17,0.21926,0.60655,0.81400,0.10655,46.639
18,0.22239,0.61011,0.84897,0.11011,48.643
