t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16173,0.51055,0.73227,0.01055,41.956
2,0.17638,0.52077,0.60930,0.02077,34.910
3,0.19253,0.52917,0.47950,0.02917,27.474
4,0.20834,0.53539,0.37471,0.03539,21.469
5,0.22719,0.54108,0.29341,0.04108,16.811
6,0.24666,0.54479,0.18810,0.04479,10.777
7,0.26643,0.54678,0.10027,0.04678,5.745
8,0.28698,0.54741,0.03061,0.04741,1.754
9,0.30748,0.54745,0.00206,0.04745,0.118
10,0.32771,0.54706,-0.01916,0.04706,-1.098
11,0.34821,0.54620,-0.04182,0.04620,-2.396
12,0.36988,0.54528,-0.04252,0.04528,-2.436
13,0.39132,0.54454,-0.03443,0.04454,-1.973
14,0.41225,0.54330,-0.05914,0.04330,-3.389
15,0.43401,0.54187,-0.06573,0.04187,-3.766
16,0.45657,0.54065,-0.05401,0.04065,-3.095
17,0.47830,0.53953,-0.05166,0.03953,-2.960
18,0.50008,0.53859,-0.04297,0.03859,-2.462
