t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16169,0.51032,0.72349,0.01032,41.453
2,0.17626,0.52069,0.61846,0.02069,35.435
3,0.19174,0.52930,0.50737,0.02930,29.070
4,0.20660,0.53568,0.40555,0.03568,23.236
5,0.22485,0.54139,0.30332,0.04139,17.379
6,0.24359,0.54515,0.19823,0.04515,11.358
7,0.26233,0.54721,0.10927,0.04721,6.261
8,0.28219,0.54748,0.01388,0.04748,0.796
9,0.30148,0.54691,-0.02954,0.04691,-1.693
10,0.32085,0.54573,-0.06090,0.04573,-3.489
11,0.34013,0.54403,-0.08831,0.04403,-5.060
12,0.36078,0.54217,-0.08962,0.04217,-5.135
13,0.38117,0.54036,-0.08836,0.04036,-5.062
14,0.40045,0.53849,-0.09679,0.03849,-5.546
15,0.42141,0.53649,-0.09544,0.03649,-5.468
16,0.44252,0.53497,-0.07166,0.03497,-4.106
17,0.46307,0.53359,-0.06726,0.03359,-3.854
18,0.48417,0.53244,-0.05449,0.03244,-3.122
