t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15554,0.50718,0.91342,0.00718,52.335
2,0.15856,0.51085,0.88188,0.01085,50.528
3,0.16201,0.51412,0.75915,0.01412,43.496
4,0.16550,0.51734,0.74615,0.01734,42.751
5,0.18087,0.52886,0.64287,0.02886,36.834
6,0.18460,0.53180,0.66751,0.03180,38.245
7,0.18827,0.53481,0.68645,0.03481,39.331
8,0.20780,0.55040,0.67379,0.05040,38.605
9,0.22840,0.56269,0.53790,0.06269,30.819
10,0.23263,0.56484,0.47120,0.06484,26.998
11,0.25221,0.57954,0.64375,0.07954,36.884
12,0.25567,0.58280,0.75724,0.08280,43.386
13,0.26062,0.59029,0.98695,0.09029,56.548
14,0.26282,0.59450,1.08715,0.09450,62.289
15,0.26418,0.59905,1.28073,0.09905,73.380
16,0.26465,0.60875,1.52290,0.10875,87.256
17,0.26432,0.61349,1.63898,0.11349,93.906
18,0.26177,0.62123,1.88896,0.12123,108.230
