t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16316,0.51174,0.72850,0.01174,41.740
2,0.17748,0.52203,0.62324,0.02203,35.709
3,0.19435,0.53160,0.51578,0.03160,29.552
4,0.20942,0.53829,0.41766,0.03829,23.930
5,0.22866,0.54482,0.32755,0.04482,18.767
6,0.24721,0.54909,0.22620,0.04909,12.960
7,0.26656,0.55151,0.12444,0.05151,7.130
8,0.28680,0.55212,0.03016,0.05212,1.728
9,0.30730,0.55185,-0.01338,0.05185,-0.767
10,0.32608,0.55108,-0.04082,0.05108,-2.339
11,0.34599,0.54970,-0.06926,0.04970,-3.968
12,0.36702,0.54803,-0.07917,0.04803,-4.536
13,0.38796,0.54639,-0.07818,0.04639,-4.479
14,0.40766,0.54410,-0.11577,0.04410,-6.633
15,0.42844,0.54137,-0.13076,0.04137,-7.492
16,0.44972,0.53888,-0.11633,0.03888,-6.665
17,0.46959,0.53660,-0.11457,0.03660,-6.564
18,0.49068,0.53412,-0.11665,0.03412,-6.684
