t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16738,0.51796,0.80161,0.01796,45.929
2,0.18247,0.53663,0.89128,0.03663,51.066
3,0.18960,0.54522,0.87837,0.04522,50.327
4,0.19299,0.54855,0.77524,0.04855,44.418
5,0.20440,0.55868,0.72631,0.05868,41.614
6,0.21485,0.56867,0.76253,0.06867,43.690
7,0.21815,0.57208,0.80189,0.07208,45.945
8,0.22631,0.57953,0.74013,0.07953,42.406
9,0.24338,0.59763,0.81454,0.09763,46.670
10,0.25726,0.61721,0.95430,0.11721,54.677
11,0.26018,0.62136,0.95787,0.12136,54.882
12,0.26913,0.63348,0.93468,0.13348,53.553
13,0.28537,0.65247,0.86330,0.15247,49.464
14,0.29437,0.66385,0.90173,0.16385,51.665
15,0.31135,0.68133,0.79969,0.18133,45.819
16,0.31993,0.68943,0.75702,0.18943,43.374
17,0.32346,0.69261,0.73232,0.19261,41.959
18,0.32674,0.69604,0.80884,0.19604,46.343
