vref,model,final_lat,max_excursion,in_bounds,speed_err
0.15,unicycle (oracle),0.0289,0.0371,1,0.0058
0.15,ego (gray-box),0.0307,0.0422,1,0.0297
0.15,grounded,0.0392,0.0511,1,0.0273
0.18,unicycle (oracle),0.0298,0.0393,1,0.0245
0.18,ego (gray-box),0.0320,0.0440,1,0.0128
0.18,grounded,0.0386,0.0525,1,0.0086
0.2,unicycle (oracle),0.0303,0.0410,1,0.0362
0.2,ego (gray-box),0.0338,0.0467,1,0.0012
0.2,grounded,0.0341,0.0521,1,0.0027
0.22,unicycle (oracle),0.0309,0.0428,1,0.0474
0.22,ego (gray-box),0.0323,0.0485,1,0.0106
0.22,grounded,0.0365,0.0547,1,0.0165
0.24,unicycle (oracle),0.0315,0.0447,1,0.0583
0.24,ego (gray-box),0.0334,0.0509,1,0.0236
0.24,grounded,0.0306,0.0555,1,0.0298
0.25,unicycle (oracle),0.0319,0.0457,1,0.0637
0.25,ego (gray-box),0.0332,0.0517,1,0.0305
0.25,grounded,0.0307,0.0558,1,0.0371
